question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What percentage of calcaneus fractures involve the calcaneal tuberosity?,1-3%,,footankle,ankle,,,,footankle,calcaneus,calcaneus,,
How do Open fractures of the Calcaneus affect infection rates?,No significant increase,,trauma,foot,,,,trauma,foot,,,
What age group do Calcaneal Tuberosity fractures occur most commonly?,Women in seventh decade of life,,footankle,ankle,,,,footankle,heel,heel,,
What is the most common injury mechanism of intra-articular Calcaneus fractures?,Traumatic axial loading,"(e.g., fall from height, motor-vehicle accidents)",footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What is the mechanism of calcaneus fractures involving the Anterior Process?,Twisting injury mechanism  Avulsion injury of the Bifurcate Ligament,,footankle,foot,,,,footankle,foot,,,
What are the Three most common associated orthopedic injuries with calcaneus fractures?,Extension into the Calcaneocuboid joint occurs in 63%  Vertebral injuries in 10%  Contralateral Calcaneus in 10%,Superomedial fragment (constant fragment) - includes the sustentaculum tali and is stabilized by strong ligamentous and capsular attachment Superolateral fragment - includes an intra-articular aspect through the posterior facet,footankle,foot,,,,footankle,foot,,,
Where is the Sinus Tarsi located?,Between the Middle and Posterior facets lies the Interosseous Sulcus (calcaneal groove) that together with the Talar Sulcus makes up the sinus tarsi,,footankle,ankle,,,,footankle,ankle,,,
What structure passes beneath the Sustentaculum Tali?,FHL,,footankle,foot,,,,footankle,foot,,,
Which important stabilizing ligaments attach to the sustentaculum tali?,Deltoid and Talocalcaneal ligaments connect it to the Talus,,footankle,foot,,,,footankle,foot,,,
Where does the bifurcate ligament attach to the Calcaneus?,Connects the Dorsal aspect of the Anterior Process to the Cuboid and Navicular,Supports Subtalar and CalcaneoCuboid Joints,footankle,midfoot,,,,footankle,midfoot,,,
Which three anatomic locations are commonly involved with Extra-Articular Calcaneus Avulsion fractures?,Anterior process by bifurcate ligament  Sustentaculum tali  Calcaneal tuberosity (Achilles tendon avulsion),Anterior process by Bifurcate ligament:   Calcaneal tuberosity (Achilles tendon avulsion):,footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What is best visualized with Broden views of the Calcaneus?,"Allows visualization of Posterior Facet, obtain with IR and progressive PF::also how to obtain","Useful for evaluation of intraoperative reduction of the posterior facet   With ankle in neutral dorsiflexion and ~45 degrees internal rotation, take x-rays at 40, 30, 20, and 10 degrees cephalad from neutral",footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What is best visualized with Harris views of the Calcaneus?,"Visualizes Tuberosity Fragment Widening, Shortening, and Varus positioning",Place the foot in maximal dorsiflexion and angle the x-ray beam 45 degrees,footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What slice thickness should be performed for CT evaluation of Calcaneus fractures?,2-3 mm cuts,,footankle,ankle,,,,footankle,foot/ankle,foot/ankle,,
What type of calcaneus fractures should be treated with cast immobilization and non-weight bearing for 6 weeks?,Calcaneal stress fractures,,footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What are 4 indications for closed reduction and percutaneous pinning of Calcaneus fractures?,Minimally Displaced Tongue-type fxs or those with Mild Shortening   Large extra-articular fractures (>1 cm)   Early reduction prevents skin sloughing and need for subsequent flap coverage  Ideal in patients with severe peripheral vascular disease or severe soft-tissue compromise,,footankle,ankle,,,,footankle,calcaneus,calcaneus,,closed reduction
What are 2 treatment timing considerations for operative management of calcaneus fractures?,Wait 10-14 days until swelling and blisters resolve and wrinkle sign present  Displaced Tuberosity fractures with Posterior skin compromise should be addressed urgently,no benefit to early surgery due to significant soft tissue swelling,footankle,ankle,,,,footankle,foot/ankle,foot/ankle,,
What 2 factors are associated with the surgical outcome of Calcaneus fractures?,Correlates with the number of intra-articular fragments and the quality of articular reduction,,footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What factors are associated with a higher likelihood of secondary subtalar fusion in Calcaneus fractures?,Male worker's compensation patient who participates in heavy labor work with an initial Böhler angle less than 0 degrees,SANDERS CLASSIFICATION:  Type I: Non-displaced Posterior Facet Type II: One fracture line (2 fragments) Type III: Two fracture lines (3 fragments) Type IV: Comminuted (≥4 fragments),footankle,hip,,,,footankle,calcaneus,calcaneus,,
What are 5 benefits of the sinus tarsi approach for the surgical treatment of calcaneus fractures?,"Reduces Wound Complications associated with extensile lateral incision  Allows direct visualization of the posterior facet, anterolateral fragment, and lateral wall  Lower incidence of sural nerve neuralgia  Same incision can be utilized for secondary subtalar arthrodesis or peroneal tendon debridement  Decreased surgical time",AO: Sinus Tarsi Approach to the Calcaneus VuMedi: Surgical Fixation of Intra-Articular Calcaneus Fractures Using a Sinus Tarsi Approach,footankle,ankle,,,,footankle,sinus tarsi approach,sinus tarsi approach,,debridement
What are 4 benefits of arthroscopic-assisted reduction and internal fixation of Calcaneus fractures?,Decreased soft-tissue dissection  Preservation of local blood supply  Removal of loose bone fragments  Improved visualization of articular surface and cartilage lesions,,footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What is nonoperative management of post-traumatic subtalar arthritis?,Ankle bracing (gauntlet type)  NSAIDs  Injections  Physical therapy,,footankle,ankle,,,,footankle,foot/ankle,foot/ankle,,
What are 3 manifestations of Calcaneus malunion?,Loss of height  Widening  Lateral impingement,,footankle,foot,,,,footankle,foot,,,
What percentage of Distal Radius fractures are intra-articular?,50%,,hand,wrist,,,,hand,wrist,,,
What is the most important risk factor for Distal Radius fractures?,Osteoporosis,DEXA scan is recommended for elderly women with distal radius fractures,hand,wrist,,,,hand,wrist,,osteoporosis,
What are 3 associated conditions that should be evaluated for with Distal Radius fractures?,DRUJ injuries Radial Styloid fractures Soft Tissue injuries - seen in 70%,,hand,wrist,,,,hand,wrist,,,
What are 3 associated soft tissue injuries of the hand/wrist seen with Distal Radius fractures?,(Seen in 70%)     TFCC injury (40%)  Scapholunate ligament injury (30%)  Lunotriquetral ligament injury (15%),,hand,wrist,,,,hand,wrist,,,
What are the 3 columns of the Distal Radius?,Radial column  Intermediate column  Ulnar column,,hand,wrist,,,,hand,wrist,,,
What are the 2 main anatomic components of the radial column of the Distal Radius?,Radial Styloid and Scaphoid Fossa,,hand,wrist,,,,hand,wrist,,,
What are the 4 important Mechanical Functions of the Radial Column of the Distal Radius?,"Serves as a buttress to resist radial carpal translation Functions as a load-bearing platform for activities performed with the wrist in ulnar deviation Holds the carpus out to length radially, allowing a more uniform distribution of load across the scaphoid and lunate facets Serves as an anchor for the radioscaphocapitate ligament that prevents ulnar translation of the carpus",,hand,wrist,,,,hand,wrist,,,
What Tendon and 2 ligaments attach to the radial column of the Distal Radius?,Brachioradialis Tendon  Long Radiolunate Ligament  Radioscaphocapitate Ligament,,hand,wrist,,,,hand,wrist,,,
What portion of the distal radius does the intermediate column refer to?,Lunate Fossa,,hand,wrist,,,,hand,wrist,,,
What is the primary function of the intermediate column of the Distal Radius?,Transmits load from the Carpus to the Forearm,,hand,wrist,,,,hand,wrist,,,
What portion of the distal radius does the Ulnar column refer to?,TFCC and Distal Ulna,,hand,wrist,,,,hand,wrist,,,
What are the 2 primary functions of the Ulnar column of the Distal Radius?,Stability of the DRUJ  Forearm motion,,hand,wrist,,,,hand,wrist,,,
What is the Fernandez classification of Distal Radius fractures based on?,Mechanism of Injury,,hand,wrist,,,,hand,wrist,,,
What are the 2 things the Frykman classification of Distal Radius fractures is based on?,Joint Involvement (Radiocarpal and/or Radioulnar) +/- Ulnar Styloid Fracture,,hand,wrist,,,,hand,wrist,,,
How is the Melone classification of Distal Radius fractures organized?,Divides intra-articular fractures into 4 types based on displacement,,hand,wrist,,,,hand,wrist,,,
What is an acceptable decrease in articular stepoff for nonoperative management of Distal Radius fractures?,< 2 mm,,hand,wrist,,,,hand,wrist,,,
What are 2 indications for CT of Distal Radius fractures?,Evaluate intra-articular involvement  Surgical planning,,hand,wrist,,,,hand,wrist,,,
When is CRPP indicated for Distal Radius fractures?,Extra-articular fracture with stable volar cortex,,hand,wrist,,,,hand,wrist,,,
What position should be avoided with closed reduction and splinting/casting of Distal Radius fractures?,Avoid positions of extreme flexion and Ulnar Deviation (Cotton-Loder Position),Due to risk of carpal tunnel syndrome,hand,wrist,,,,hand,wrist,,,closed reduction
What are the 6 main LaFontaine predictors of instability after Closed reduction of Distal Radius fractures?,"Severe Osteoporosis  Associated Ulnar fracture  Dorsal Comminution > 50%, Palmar Comminution, Intraarticular Comminution  Dorsal Angulation > 20°  Initial Displacement > 1 cm  Initial Radial Shortening > 5 mm",Higher loss of reduction with 3 or more of LaFontaine criteria,hand,forearm,,,,hand,distal radius,distal radius,osteoporosis,closed reduction
What LaFontaine criteria is most predictive of instability after closed reduction?,Radial shortening (>5 mm) followed by Dorsal Comminution,,hand,wrist,,,,hand,wrist,,,closed reduction
"In elderly patients (> 65 years old), are outcomes better with nonoperative or operative management of Distal Radius fractures?",No difference in outcomes demonstrated in Meta-analyses and systematic reviews,,hand,wrist,,,,hand,wrist,,,
When is dorsal plating of Distal Radius fractures indicated?,Displaced intra-articular distal radius fractures with Dorsal Comminution,,hand,wrist,,,,hand,wrist,,,
What is the most common nerve injury associated with Distal Radius fractures?,Median nerve neuropathy (CTS),most frequent neurologic complication   Seen in 1-12% of low energy fxs and 30% of high energy fxs,hand,wrist,,,,hand,wrist,,,
What is a risk factor for associated Ulnar nerve neuropathy with Distal Radius fractures?,DRUJ injury,,hand,wrist,,,,hand,wrist,,,
How does EPL rupture occur with volar plating?,Screw fixation that penetrates the dorsal cortex and is proud dorsally,Proud Dorsal Screw:,hand,wrist,,,,hand,wrist,,,scr
What is the treatment for intra-articular malunion of Distal Radius fractures?,Revision at > 6 weeks,,hand,wrist,,,,hand,wrist,,,
What is the treatment for an Extra-articular Malunion of Distal Radius fractures?,Opening Wedge Osteotomy with ORIF and Bone Grafting,,hand,wrist,,,orif,hand,wrist,,,
What is the treatment in the setting of a Shortened Radial Malunion following Distal Radius fracture?,Ulnar shortening,,hand,wrist,,,,hand,wrist,,,
What are the risk factors for ECU/EDM entrapment in Distal Radius fracture?,DRUJ injury,,hand,wrist,,,,hand,wrist,,,
What medication is recommended to prevent the incidence of reflex sympathetic dystrophy following Distal Radius fracture?,Vitamin C,AAOS 2010 clinical practice guidelines recommend vitamin C supplementation to prevent incidence of RSD postoperatively,hand,wrist,,,,hand,wrist,,,
What 3 factors are correlated with successful outcomes following ORIF of Distal Radius fractures?,Accuracy of articular reduction  Restoration of anatomic relationships  Early efforts to regain motion of wrist and fingers,,hand,wrist,,,orif,hand,wrist,,,
What is the definition and calculation of Stress?,Intensity of an internal force; Stress = Force/Area,,hand,hand,,,,hand,musculoskeletal system,musculoskeletal system,,
What is the definition and calculation of Strain?,"Relative measure of the Deformation of an object, Strain = Change in Length / Original Length",,sports,global,,,,sports,musculoskeletal,musculoskeletal,,
What is the definition of Elastic Deformation?,Reversible changes in Shape to a material due to a Load Material Returns to Original Shape when Load is Removed,,sports,global,,,,sports,musculoskeletal,musculoskeletal,,
What is the definition of Plastic Deformation?,Irreversible changes in Shape to a material due to a Load Material DOES NOT Return to Original Shape when Load is Removed,,hand,hand,,,,hand,musculoskeletal,musculoskeletal,,
What is the definition and calculation of Toughness?,Amount of Energy per Volume a Material can Absorb before failure (Fracture); Tougness = area under the Stress/Strain curve,,trauma,global,,,,trauma,material science,material science,,
What is Load Relaxation?,Decrease in applied stress under conditions of Constant Strain,stress is force/area,spine,spine,,,,spine,mechanical properties,mechanical properties,,
What is the Elastic zone of a Stress/Strain curve?,Zone where a material will return to its original shape for a given amount of stress,,sports,global,,,,sports,plastic zone,plastic zone,,
What is the Yield Point of a Stress/Strain curve?,Transition Point between Elastic and Plastic Deformation,,sports,global,,,,sports,mechanical engineering,mechanical engineering,,
What is the Yield Strength of a Stress/Strain curve?,Amount of Stress necessary to produce a specific amount of Permanent Deformation,,trauma,global,,,,trauma,musculoskeletal,musculoskeletal,,
What is the Plastic zone of a Stress/Strain curve?,Zone where a material will NOT return to its original shape for a given amount of stress,,hand,hand,,,,hand,elastic region,elastic region,,
What is the Ultimate (Tensile) Strength of a Stress/Strain curve?,The LOAD to FAILURE,,sports,global,,,,sports,musculoskeletal,musculoskeletal,,
What is Fatigue Failure?,Failure at a point Below the Ultimate Tensile Strength secondary to Repetitive Loading,Depends on Magnitude of Stress and Number of Cycles,sports,global,,,,sports,bone,bone,,
What is Galvanic corrosion?,Dissimilar metals leads to electrochemical destruction,caused by an electrochemical transfer of electrons between dissimilar metals  Mixing metals 316L stainless steel and cobalt chromium (Co-Cr) has highest risk of galvanic corrosion,hand,knee,,,,hand,metals,metals,,
What is Crevice corrosion?,Occurs in fatigue cracks due to differences in oxygen tension,Physicochemical interaction between a metal and environment leading to altered mehcanical properties,trauma,global,,,,trauma,bone fractures,bone fractures,,
What metal is most prone to Crevice corrosion?,316L Stainless Steel,,hand,hand,,,,hand,metal implants,metal implants,,
What metal is LEAST prone to Crevice corrosion?,Titanium,Able to self-passify (form oxide layer) which is protective,recon,global,lower extremity,,,recon,lower extremity,lower extremity,,
What is the most common location of Fretting corrosion in Hip Arthroplasty?,Head-Neck junction,,recon,hip,,,total hip arthroplasty,recon,hip,,,
What are the Components of Cobalt alloy?,"Cobalt, Chromium, Molybdenum",,recon,global,,,,recon,joints,joints,,
Females::Gender?,Sustain ACL injuries at a(n) Younger Age than Males::Gender?,,sports,knee,,,,sports,knee,,,
Females::Gender?,"get more ACL injuries on the Supporting Leg, while Males::Gender? get more on the Kicking Leg",,sports,knee,,,,sports,knee,,,
What is the collagen composition of the ACL?,90% Type I collagen  10% Type III collagen,,sports,knee,,,,sports,knee,,,
What is the innervation of the ACL?,Posterior Articular Nerve (branch of tibial nerve),,sports,knee,,,,sports,knee,,,
What nerve is critical to examine following ACL rupture event?,Peroneal n.,Following high energy mechanisms and suspicion for multi-ligamentous injury pattern,sports,knee,,,,sports,knee,,,
What is the Deep Sulcus (Terminalis) Sign that can be seen with ACL rupture?,"Depression on the Lateral Femoral Condyle at the Terminal sulcus, a Junction between the weight-bearing tibial articular surface and the patellar articular surface of the femoral condyle",,sports,knee,,,,sports,knee,,,
What is an indication for a CT scan following ACL rupture?,Revision setting to evaluate for bone loss,,sports,knee,,,,sports,knee,,,
What are the Indications for ACL reconstruction?,"Must have full motion of knee restored following injury (unless meniscal tear causing mechanical block) Younger, more active patients (reduces the incidence of meniscal or chondral injury) Children (activity limitation is not realistic) Older Active patients (age >40 is not a contraindication if high demand athlete) Partial/single bundle tears with clinical and functional instability Prior ACL reconstruction failure",Lack of pre-operative motion risk factor for post-operative arthrofibrosis,sports,knee,,,,sports,knee,,,
What is an indication for ACL revision reconstruction?,Failure of prior ACL reconstruction with instability during desired activities,Lack of pre-operative motion risk factor for post-operative arthrofibrosis,sports,knee,,,,sports,knee,,,
What is the correct femoral tunnel placement during ACL recon?,Sagittal plane: 1-2 mm rim of bone between the tunnel and posterior cortex of the femur   Coronal plane: Tunnel should be placed on the Lateral Wall at 2 o'clock for Left knee or 10 o'clock for right knee,,sports,knee,,,,sports,femoral condyle,femoral condyle,,
What are 4 types of ACL graft fixation options?,Interference Screws (aperture/compression fixation)  Cortical Buttons (suspensory fixation)  Screw and Washer Post (suspensory fixation)  Staple (suspensory fixation),Can be used alone (i.e. all-inside suspensory fixation) or in combination (i.e. interference screw with screw and washer post),sports,knee,,,,sports,knee,,,scr
What are 4 considerations during Revision ACL reconstruction?,Cause for prior ACL failure  Concomittant pathology  Prior graft selection  Careful assessment of the underlying cause of re-rupture,,sports,knee,,,,sports,knee,,,
What nerve is at risk during harvesting of hamstring autograft for ACL Reconstruction?,Saphenous nerve branches - can lead to paresthesias,,sports,knee,,,,sports,knee region,knee region,,
Which patients have the biggest risk of failure when using an allograft for ACL Reconstruction?,Young athletes aged 10-19; Risk of re-rupture 4.3x higher,,sports,knee,,,,sports,knee,,,
Which factor is the most important in increasing the risk of physeal injury during pediatric ACL reconstruction?,Large TUNNEL diameter (>12mm),,peds,knee,,,,peds,knee,,,
What are the 2 types of exercises to avoid during early rehab following ACL recon?,Focus rehab on exercises that do not place excess stress on graft; avoid   Isokinetic quadricep strengthening (15-30°) during early rehab  Open chain quadriceps strengthening,,sports,hip,,,,sports,knee region,knee region,,
What are the 6 types of exercises to focus on during early rehab following ACL recon?,"Eccentric Strengthening at 3 weeks isometric hamstring contractions at any angle  isometric quadriceps, or simultaneous quadriceps and hamstrings contraction  Active knee motion between 35 degrees and 90 degrees of FLEXION  Core and gluteal strengthening incorporated throughout therapy  Emphasize closed chain (foot planted) exercises (i.e. squats or leg-press)",,sports,knee,,,,sports,knee rehab,knee rehab,,
What are exercises that female athletes can do to reduce risk of ACL rupture?,Neuromuscular training/plyometrics (jump training)  Land from Jumping in less valgus and more knee flexion  increasing hamstring strength to decrease quadriceps dominance ratio,,sports,hip,,,,sports,knee region,knee region,,
What are the 2 common intra-operative ACL reconstruction complications?,Graft-tunnel mismatch  Posterior wall blowout,Graft-tunnel mismatch (GTMM) is a condition in which the ACL BTB autograft does not match the intra-articular and tunnel length,sports,knee,,,,sports,knee,,,
Vertical femoral tunnel placement during ACL reconstruction will lead to what post-operative physical examination finding?,"Continued rotational instability, can be identified by a positive pivot shift",,sports,knee,,,,sports,knee,,,
"Besides tunnel malposition, what are 5 causes of ACL graft failure?","Inadequate graft fixation or hardware failure (can be caused by graft-screw divergence > 30o) Attritional graft failure (graft less than 8 mm in width) Intra-articular femoral bone plug dislodgement  Missed diagnosis of concomitant ligamentous injuries (in combined ACL and PLC injuries, failure to treat the PLC will overload graft and lead to failure) Over-aggressive or improper rehab",,sports,hip,,,,sports,knee region,knee region,,scr
What is the risk of Infection and septic arthritis following ACL recon how do you treat it?,Less than 1%; immediate arthroscopic I&D,"Often can retain graft with multiple I&Ds and antibiotics (6 weeks minimum)  More likely to be successful with S. epidermidis, less likely with S. aureus",sports,knee,,,,sports,knee,,septic arthritis,
What is the most common complication following ACL reconstruction?,Loss of motion & arthrofibrosis,,sports,knee,,,,sports,knee,,,
"""What is the number 1 pre-operative method to prevent post-operative stiffness following ACL reconstruction?","Wait until patient has regained full ROM before you operate (""""pre-hab"""") """,Wait until swelling (inflammatory phase) has gone down to reduce the incidence of arthrofibrosis,sports,knee,,,,sports,knee,,,
What is a risk factor for late post-operative knee osteoarthritis following ACL reconstruction?,Patients > age 50 at the time of surgery,,sports,knee,,,,sports,knee,,,
What is Femoroacetabular Impingement?,"The abnormal contact between the femur and acetabulum which may lead to labral damage, various degrees of chondral injury, and progressive hip pain.",,sports,hip,,,,sports,hip,,femoroacetabular impingement,
What are 3 injuries associated with FAI?,Labral degeneration and tears Cartilage damage and Flap tears Secondary hip Osteoarthritis,,,hip,,,,hip,hip,,,
What are 4 common symptoms of FAI?,"Activity-related groin or hip pain, exacerbated by hip flexion Difficulty Sitting Mechanical hip symptoms of Clicking or Popping Can present with Gluteal or Trochanteric Pain","Limited hip flexion (<90 degrees), especially with internal rotation (<5 degrees)",,hip,,,,hip,hip,,,
How is a false profile view obtained?,Standing position at an angle of 65° between the pelvis and the film,Used to assess anterior coverage of the femoral head (FAI or DDH),shoulderelbow,hip,,,,shoulderelbow,hip,,,
What is a normaI head-neck offset ratio?,(Used in determining if a Cam Deformity is present)    > 0.17 considered normal,"If the ratio is < 0.17, a cam deformity is likely present",,hip,,,,hip.,hip,,cam deformity,
What are the indications for nonoperative management of FAI?,"Minimally symptomatic, NO Mechanical symptoms","Activity modification, PT, NSAIDs",sports,hip,,,,sports,hip,,,
What are the indications for arthroscopic osteoplasty for FAI?,Symptomatic patient with Mechanical symptoms Failure of non-operative measures Non-Arthritic,,shoulderelbow,hip,,,,shoulderelbow,hip,,,
What is the indication for a periacetabular osteotomy (PAO) for FAI?,Structural Deformity of Acetabulum with significant Retroversion,,recon,hip,,,,recon,hip,,,osteotomy
What is the indication for total hip arthroplasty for FAI?,ARTHRITIC and End-Stage Hip Degeneration,,recon,hip,,,total hip arthroplasty,recon,hip,,,
What are the outcomes of open compared to arthroscopic osteoplasty for FAI?,Equivalent success; arthroscopy quicker return to sport,,sports,hip,,,,sports,hip,,,
What is the expected time to return to sports in adolescent athletes who undergo open FAI surgical treatment?,Median expected time is 7 months,Professional athletes WITHOUT Osteoarthritis are expected to return-to-play at the SAME Level at a rate of >85-90%,sports,hip,,,,sports,hip,,,
What is the most significant complication following FAI femoroplasty?,Femoral neck fracture,,sports,hip,,,,sports,hip,,,
What is the number 1 indication for knee surgery in the United States?,Meniscal Injury,,sports,knee,,,,sports,knee,,,
What is the biggest risk factor for the development of a meniscal injury?,ACL Deficiency,,sports,knee,,,,sports,knee,,,
What is the most common location of Degenerative Meniscal tears?,Posterior Horn of the Medial meniscus,,sports,knee,,,,sports,knee,,,
Which Meniscal injury pattern is functionally equivalent to a total meniscectomy?,Root Tear,,sports,knee,,,meniscectomy,sports,knee,,,
How is the Thessaly test performed?,"Standing at 20 degrees of knee flexion on the affected limb, the patient twists with knee external and internal rotation",Positive test being Discomfort or Clicking,sports,knee,,,,sports,knee,,,
What is the indication for nonoperative management of Meniscal tears?,Degenerative Tears,"Rest, NSAIDS, rehabilitation",sports,knee,,,,sports,knee,,,
What are 4 predictors of success following a partial meniscectomy?,Age < 40 years old  Normal Alignment  Minimal or No Arthritis  Single Tear,,sports,knee,,,meniscectomy,sports,knee,,,
What are 3 Meniscal tear types that are not amenable to a repair and generally indicated for a meniscectomy?,"Complex, Degenerative, Radial",,sports,knee,,,meniscectomy,sports,knee,,,
What are 5 characteristics of a Non-Degenerative Meniscal tear that make it amenable to undergo a repair (rather than a meniscectomy)?,Peripheral in the red-red zone (vascularized region)  Lower rim width    Vertical and Longitudinal tear  1-4 cm in length  Root tear,Rim Width is the distance from the tear to the peripheral meniscocapsular junction (better blood supply).  Correlates with the ability of a meniscal repair to heal,sports,knee,,,meniscectomy,sports,knee,,,
What is the main indication for a meniscal transplantation?,"Young patients with Near-Total Meniscectomy, especially Lateral",VuMedi: Meniscal Allograft Transplantation Using Omnispan and Trans-osseous Sutures,sports,knee,,,meniscectomy,sports,knee,,,
What are 6 contraindications against a meniscal transplantation?,Inflammatory arthritis Instability Marked Obesity Grade III and IV Chondral Changes Malalignment (if not concurrently addressed) Diffuse Arthritis,,sports,knee,,,,sports,knee,,,
What is the predicted return to sport time following a meniscal transplantation?,6-9 months,,sports,knee,,,,sports,knee,,,
What is the surgical approach in performing a medial open inside-out meniscus repair?,Medial approach to capsule   Expose Capsule by incising the Sartorius Fascia Retract Pes tendons / Semimembranosus Posteriorly Developing plane between the Medial Gastrocnemius and Capsule,Orthobullets: Medial Approach to the Knee,sports,knee,,,,sports,knee,,,
What is the Lateral approach to performing an inside-out meniscus repair?,Lateral approach to capsule       Develop plane between IT band and biceps tendon  Retract lateral head of gastrocnemius posteriorly,Orthobullets: Lateral Approach to the Knee,sports,knee,,,,sports,knee,,,
What suture configuration is the strongest for meniscus repair?,Why?     Vertical Mattress sutures are strongest because they Capture Circumferential Fibers,,sports,knee,,,,sports,knee,,,
"""What are the 3 main risk factors for patellar instability?","Ligamentous laxity (Ehlers-Danlos syndrome)  Previous patellar instability event  “Miserable malalignment syndrome""""""",,sports,knee,,,,sports,knee,,,
What are 4 osseous risk factors that contribute to Patellar Instability?,Patella alta  Trochlear dysplasia  Excessive LATERAL Patellar Tilt (measured in Extension)  Lateral femoral condyle Hypoplasia,"Patella Alta - causes patella to NOT articulate with sulcus, losing its constraint effects Dejour classification for trochlea dysplasia",sports,knee,,trochlear dysplasia,,sports,knee,,,
Overpull of what 2 muscles contributes to LATERAL Patellar instability?,Iliotibial Band Vastus Lateralis,,sports,knee,,,,sports,knee,,,
What is the primary mechanism that leads to an Acute Patellar Instability event?,Usually a Noncontact Twisting injury with the Knee Extended and Foot Externally rotated,Patient will usually reflexively contract Quadriceps thereby Reducing the Patella,sports,knee,,,,sports,knee,,,
WHEN do Osteochondral Fractures usually occur during an Acute Patellar Instability event?,As the Patella Relocates,Patient will usually reflexively contract Quadriceps thereby Reducing the Patella,sports,knee,,,,sports,knee,,,
Where is the origin of the medial patellofemoral ligament (MPFL)?,Between Medial Epicondyle and Adductor Tubercle,,sports,knee,,,,sports,knee,,,
What are 6 physical exam findings after an Acute Patellar Instability event?,Acute Dislocation usually associated with a Large Hemarthrosis   Medial-sided tenderness (over MPFL)  Increase in Passive Patellar Translation  Patellar Apprehension  Increased Q Angle  J sign,,sports,knee,,,,sports,knee,,,
What are the 2 most common sites of Fracture following a Patellar instability episode?,Medial Patellar Facet (most common)  Lateral Femoral Condyle,Fx occurs when it is relocated after the dislocation event Lateral Femoral Condyle Fracture:,sports,knee,,,,sports,knee,,,
What is a normal Blackburne-Peel Ratio?,Between 0.5 and 1.0,,sports,hip,,,,sports,hip,,,
What is a normal Caton-Deschamps Ratio?,Between 0.6 and 1.3,Ratio of distance from anterior tibial plateau to patella articular surface,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What is the Lateral patellofemoral angle and what is a normal value?,Angle between line along subchondral bone of lateral trochlear facet + anterior femoral condyles; Normal > 11°,Measured on Sunrise view,sports,knee,,,,sports,knee,,,
What is the indication for CT scan in Patellar Instability workup?,To measure the TT-TG Distance,,sports,knee,,,,sports,knee,,,
What is an Abnormal TT-TG Distance?,> 20 mm,Measures the distance between 2 perpendicular lines from the posterior cortex to the tibial tubercle and the trochlear groove,sports,knee,,,,sports,knee,,,
What are the indications for nonoperative management of Patellar Instability?,First time Patellar Dislocator WITHOUT any loose bodies or intraarticular damage,"NSAIDS, activity modification, and physical therapy",sports,knee,,,,sports,knee,,,
What 4 exercises should be emphasized during nonoperative management of Patellar Instability?,"Closed chain short arc quadriceps exercises  Quad strengthening  Core and hip strengthening to improve limb positioning and balance (hip abductors, gluteals, and abdominals)",Emphasis on strengthening,sports,hip,,,,sports,knee/quadriceps,knee/quadriceps,,
What is the indication for MPFL repair for Patellar Instability?,"Acute, First-time dislocation with Bony Fragment",,sports,knee,,,,sports,knee,,,
What are the indications for MPFL reconstruction for Patellar Instability?,Recurrent instability No significant underlying Malalignment,,sports,knee,,,,sports,knee,,,
"""What happens if the MFPL reconstruction Femoral Origin is placed too Proximally?","Graft will be too Tight (""""high and tight"""")""",Gracilis or Semitendinosus commonly used (stronger than native MPFL) Femoral origin can be reliably found radiographically (Schottle point),sports,thigh,,,,sports,femur,femur,,
What is the indication to perform a Fulkerson-type Osteotomy in Patellar Instability?,TT-TG >20mm on CT,Figure D: Anterior and Medial tibial tubercle transfer,sports,knee,,,,sports,knee,,,osteotomy
What is the indication for a tibial tubercle distalization in Patellar Instability?,Patella Alta,,sports,knee,,,,sports,knee,,,
What is the most common complication of Patellar Instability Nonoperative management?,Recurrent dislocation,Redislocation rates with nonoperative treatment may be high (15-50%) at 2-5 years,sports,knee,,,,sports,knee,,,
What is the biggest risk factor for Redislocation in Patellar Instability?,Patients who sustain a Primary Dislocation under the age of 20,,peds,knee,,,,peds,knee,,,
What is the order in which Muscle Fiber Types are Recruited during exercise?,"Type I, Type IIA, Type IIB",,sports,global,,,,sports,lower extremities,lower extremities,,
When does Anaerobic Exercise occur and what is the primary energy source?,First 10 seconds of high-intensity exercise; ATP and Creatine Phosphate,,sports,global,,,,sports,musculoskeletal system,musculoskeletal system,,
When does Glycolytic Exercise occur and what is the primary energy source?,First 2-3 minutes; Lactic Acid,,sports,global,,,,sports,lower extremities,lower extremities,,
When does Aerobic Exercise occur and what is the primary energy source?,Endurance; Oxidative Phosphorylation + Glycogen & Fatty Acids,,sports,global,,,,sports,musculoskeletal system,musculoskeletal system,,
