question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
Which nerve is at risk with a retractor placed under the conjoint tendon?,Musculocutaneous,,,shoulder,,,,adultreconstruction,shouldergirdle,shouldergirdle,,
What motion should be restricted in the first 6 weeks following TSA?,External rotation to protect the subscapularis tendon repair,,,shoulder,,,,adultreconstruction,shouldergirdle,shouldergirdle,,
What are the indications (5) for a primary RSA?,1) Rotator cuff tear arthropathy 2) Rheumatoid arthritis 3) Failed TSA 4) 3 and 4-part proximal humerus fractures in the elderly 5) B2 glenoid osteoarthritis in the elderly,,,shoulder,,,,adultreconstruction,shouldergirdle,shouldergirdle,rotator cuff tear,
Where should the glenosphere be placed in a Grammont style RSA?,As inferiorly on the glenoid as possible with inferior tilt,,,shoulder,,,,adultreconstruction,shouldergirdle,shouldergirdle,,
"For reverse shoulder replacements, what is the most common complication that occurs if the glenosphere is malpositioned superiorly?",Scapular notching,,,hip,,,,adultreconstruction,shouldergirdle,shouldergirdle,,
What is the classification for scapular notching?,Sirveaux Classification,Grade I: Notching to scapular pillar Grade II: Notching to the inferior screw of the baseplate Grade III: Notching beyond the inferior screw of the baseplate Grade IV: Notching to the central peg of the baseplate,,shoulder,,,,adultreconstruction,shouldergirdle,shouldergirdle,,scr
What fracture must be ruled out after a fall in a patient with a RSA?,Acromion fracture,,,shoulder,,,,adultreconstruction,shouldergirdle,shouldergirdle,,
The radial nerve can be found between what two muscles on the anterolateral arm?,Brachialis Brachioradialis,,hand,forearm,,,,hand,forearm,,,
What are the two terminal branches of the radial nerve?,Superficial Radial Nerve Posterior Interosseous Nerve (PIN),,hand,forearm,,,,hand,forearm,,,
Where does the radial nerve division occur?,At the level of the radial head,,hand,elbow,,,,hand,radialhead,radialhead,,
"Following a radial nerve injury, what is the last muscle to regain function?",Extensor indicis proprius (EIP),,hand,forearm,,,,hand,forearm,,,
What is the innervation (2) of the brachialis muscle?,Lateral 1/3 - Radial nerve Medial 2/3 - Musculocutaneous nerve,,shoulderelbow,shoulder,,,,shoulderelbow,distalhumerus,distalhumerus,,
What is the terminal branch of the musculocutaneous nerve?,Lateral antebrachial cutaneous nerve,,hand,forearm,,,,hand,forearm,,,
At what level does the ulnar nerve travel from the anterior to posterior compartment?,Arcade of Struthers,8 cm proximal to the medial epicondyle,hand,shoulder,,,,hand,distalhumerus,distalhumerus,,
What are the 3 heads of the triceps muscle?,Lateral Long Medial,,sports,shoulder,,,,sports,distalhumerus,distalhumerus,,
Where does the long head of the triceps originate?,Inferior glenoid tubercle,,shoulderelbow,shoulder,,,,shoulderelbow,glenohumeraljoint,glenohumeraljoint,,
What is the classification for single column distal humerus fractures?,Milch,Type I: Lateral trochlear ridge intact Type II: Fracture through the lateral trochlear ridge,trauma,knee,,,,trauma,distalhumerus,distalhumerus,,
What is the classification for two column distal humerus fractures?,Jupiter,"Descriptive: High-T, Low-T, Y, H, Lambda",trauma,shoulder,,,,trauma,distalhumerus,distalhumerus,,scr
What is a Holstein-Lewis fracture?,"Spiral, distal 1/3 humerus w/ radial nerve palsy",,trauma,shoulder,,,,trauma,humeralshaft,humeralshaft,radial nerve palsy,
What are the nonoperative indications for humeral shaft fractures?,Anterior angulation: <30° Varus/valgus angulation: <20° Shortening: <3 cm,,trauma,global,,,,trauma,humeralshaft,humeralshaft,,
What type of splint is initially used for midshaft humerus fractures?,Coaptation splint,,trauma,shoulder,,,,trauma,humeralshaft,humeralshaft,,
What type of mold should be placed on a coaptation splint?,Valgus mold,Counters varus displacement,trauma,elbow,,,,trauma,elbow,,,
What brace can be used for nonoperative treatment of a humeral shaft fracture?,Functional (Sarmiento) brace,,trauma,global,,,,trauma,humeralshaft,humeralshaft,,
How does a functional brace work?,Hydrostatic pressure maintains reduction,,trauma,global,,,,trauma,functionalbrace,functionalbrace,,
Is a radial nerve palsy a contraindication to functional bracing?,No,,trauma,global,,,,trauma,radialhead,radialhead,radial nerve palsy,
"With humeral nailing, which nerve is at risk when placing a distal anterior to posterior screw?",Musculocutaneous nerve,,trauma,global,,,,trauma,humeralshaft,humeralshaft,,scr
"With humeral nailing, which nerve is at risk when placing a distal lateral to medial screw?",Radial nerve,,trauma,global,,,,trauma,humeralshaft,humeralshaft,,scr
"What are the treatment options (3) for a comminuted distal humerus fracture in an elderly, low demand patient?",Nonoperative ORIF Total Elbow Arthroplasty,Comminuted means broken into several pieces,trauma,shoulder,,,orif,trauma,distalhumerus,distalhumerus,,
What fracture is a relative contraindication to TEA?,Olecranon fracture,,trauma,elbow,,,,trauma,olecranon,olecranon,,
Are there any permanent postoperative restrictions following TEA?,Refrain from repetitive lifting >5 pounds,,trauma,elbow,,,,trauma,elbow,,,
What distal humerus approach allows for direct visualization of the joint surface?,Posterior approach with an olecranon osteotomy,,trauma,shoulder,,,,trauma,distalhumerus,distalhumerus,,osteotomy
What is the shape of the olecranon osteotomy?,Distal chevron,,trauma,elbow,,,,trauma,olecranon,olecranon,,osteotomy
What is the functional range of motion of the elbow?,30°-130° of flexion 50° of both supination and pronation,,,elbow,,,,,elbow,,,
What is the normal carrying angle of the elbow?,10-15° of valgus,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
The capsule of the elbow is maximally distended at what degree of flexion?,75°,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"""What structures (3) create the borders of the """"soft spot"""" on the lateral aspect of the elbow?","Olecranon Lateral epicondyle Radial head""",,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What muscles (5) originate on the medial epicondyle?,Pronator teres Flexor carpi radialis Palmaris longus Flexor digitorum superficialis Flexor carpi ulnaris,,hand,elbow,,,,hand,elbow,,,
What muscles (5) originate on the lateral epicondyle?,Anconeus Extensor carpi radialis brevis Extensor carpi radialis longus Extensor carpi ulnaris  Extensor digitorum,,hand,elbow,,,,hand,elbow,,,
Where does the medial collateral ligament of the elbow insert?,Sublime tubercle,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
Is the MCL tighter in pronation or supination?,Pronation,,sports,elbow,,,,sports,elbow,,,
What are the bundles (3) of the MUCL?,Anterior Posterior Transverse,,sports,elbow,,,,sports,elbow,,,
Which bundle of the MUCL is the primary restraint to valgus motion?,Anterior,,sports,elbow,,,,sports,elbow,,,
What 4 structures make up the lateral collateral ligament complex?,Accessory LCL Annular ligament  Lateral radial collateral ligament (LRCL)  Lateral ulnar collateral ligament (LUCL),,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
Where does the LUCL insert?,Supinator Crest,,,elbow,,,,,elbow,,,
Is the LUCL tigher in pronation or supination?,Supination,,,elbow,,,,,elbow,,,
What is the primary stabilizer to varus and external rotation stress of the elbow?,LUCL,,,elbow,,,,,elbow,,,
What structure is at risk with dissection distal to the annular ligament?,Posterior interosseous nerve (PIN),,hand,elbow,,,,hand,elbow,,,
What is the interval for the Kaplan approach?,ED and ECRB,,hand,elbow,,,,hand,elbow,,,
What is the interval for the Kocher approach of the forearm?,ECU and Anconeus,,hand,elbow,,,,hand,elbow,,,
What nerve is at greatest risk with the Kaplan and Kocher approaches?,PIN,,hand,elbow,,,,hand,elbow,,,
How should the forearm be positioned to minimize risk to the PIN during the Kaplan or Kocher approach?,Pronated,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What are the five entrapment sites of the ulnar nerve about the elbow?,Arcade of Struthers Medial head of triceps Medial intermuscular septum Osbourne's ligament Two heads of the FCU,,hand,elbow,,,,hand,elbow,,,
What is the most common site for medial nerve entrapment about the elbow?,Between two heads of the pronator teres,,hand,elbow,,,,hand,elbow,,,
What cutaneous nerve is commonly encountered during a cubital tunnel release?,Medial antebrachial cutaneous nerve,,hand,elbow,,,,hand,elbow,,,
What are the first two branches of the ulnar nerve after it passes into the posterior compartment?,First branch: Articular branch Second branch: Nerve to FCU,,hand,elbow,,,,hand,elbow,,,
Which nerve is at risk when placing the proximal anterolateral portal for elbow arthroscopy?,Radial nerve,,sports,elbow,,,,sports,elbow,,,
Which nerve is at risk when placing the distal anterolateral portal for elbow arthroscopy?,Lateral antebrachial cutaneous,,sports,elbow,,,,sports,elbow,,,
Which nerve is at risk when placing the proximal anteromedial portal for elbow arthroscopy?,Medial antebrachial cutaneous nerve,,sports,elbow,,,,sports,elbow,,,
What is the primary function of the long head of the biceps?,Supination,,sports,elbow,,,,sports,elbow,,,
Where on the radial tuberosity does the biceps tendon insert?,Ulnar aspect,,hand,elbow,,,,hand,elbow,,,
Which head of the biceps inserts more proximally on the radial tuberosity?,Long head,,sports,elbow,,,,sports,elbow,,,
What is the interval for a distal biceps repair?,Pronator Teres (Median nerve) Brachioradialis (Radial nerve),,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What are the five entrapment sites of the median nerve about the elbow?,Supracondylar process Ligament of struthers Bicipital aponeurosis Two heads of the pronator teres FDS,,hand,elbow,,,,hand,elbow,,,
What is the most common site for ulnar nerve entrapment?,Between the two heads of the FCU,,hand,elbow,,,,hand,elbow,,,
"What physical exam finding is present with ulnar nerve compression about the elbow, but NOT present with compression distally in Guyon's canal?",Sensory deficits over the dorsal lateral hand,,hand,elbow,,,,hand,elbow,,,
What are the five entrapment sites of the radial nerve about the elbow?,Arcade of Froshe Distal aspect of the supinator muscle ECRB  Fibrous bands around the radial head Leash of Henry,,hand,elbow,,,,hand,elbow,,,
What is the most common site for radial nerve entrapment about the elbow?,Arcade of Froshe,,hand,elbow,,,,hand,elbow,,,
Where is the Arcade of Froshe located?,Proximal edge of the supinator muscle,,hand,elbow,,,,hand,elbow,,,
What is the classification for capitellum fractures?,Bryan and Morrey Classification,Type I: Large osseous piece   Type II: Shear fracture of articular surface (Kocher-Lorenz)   Type III: Comminuted (Broberg-Morrey)   Type IV: Coronal shear of capitellum and trochlea,trauma,elbow,,,,trauma,elbow,,,
What is the most common complication following ORIF of fractures about the elbow?,Elbow stiffness,,trauma,elbow,,,orif,trauma,elbow,,,
What are the two classifications for coronoid fractures?,Regan Morrey O'Driscoll,"Regan Morrey -Type 1: Coronoid tip fractures -Type 2: Fracture involving <50% of coronoid height -Type 3: Fracture involving >50% of coronoid height   O'Driscoll: Descriptive of fracture location and number of fracture fragments -Tip, anteromedial facet, basal",trauma,elbow,,,,trauma,elbow,,,scr
What injury should be considered with a coronoid fracture?,Elbow dislocation,,trauma,elbow,,,,trauma,elbow,,,
What is a Monteggia fracture?,Proximal 1/3 Ulna Fracture + Radial Head Dislocation,,trauma,elbow,,,,trauma,elbow,,monteggia fracture,
What is the classification for Monteggia fractures?,Bado Classification,Type 1: Anterior radial head dislocation and apex anterior proximal ulna fracture   Type 2: Posterior radial head dislocation and apex posterior proximal ulna fracture   Type 3: Lateral radial head dislocation and apex lateral proximal ulna fracture   Type 4: Fractures of the proximal radius and ulna with radial head dislocation,trauma,elbow,,,,trauma,elbow,,monteggia fracture,
Which nerve is most at risk with a Monteggia fracture?,PIN,,trauma,elbow,,,,trauma,elbow,,monteggia fracture,
What commonly leads to continued radial head dislocation following ulnar fixation in a Monteggia fracture?,Malreduction of the ulna,,trauma,elbow,,,,trauma,elbow,,monteggia fracture,
What is the classification for radial head fractures?,Mason Classification,Type 1: <2 mm displacement    Type 2: >2 mm displacement   Type 3: Comminuted   Type 4: Radial head fracture with an elbow dislocation,trauma,elbow,,,,trauma,elbow,,,
Interposition of what structure may lead to an irreducible radiocapitellar joint?,Annular ligament,,trauma,elbow,,,,trauma,elbow,,,
What quadrant of the radial head is most vulnerable to fracture?,Anterolateral,,trauma,elbow,,,,trauma,elbow,,,
What are the surgical treatment options (3) for radial head fractures?,ORIF Replacement Excision,,trauma,elbow,,,orif,trauma,elbow,,,
Where is the non-articular portion of the radial head located?,90° arc from Listers tubercle to the radial styloid,,trauma,elbow,,,,trauma,elbow,,,
Why is the non-articular portion of the radial head important?,Safe zone for hardware placement,,trauma,elbow,,,,trauma,elbow,,,
What is the terrible triad of the elbow?,Coronoid fracture Radial head fracture Elbow dislocation,,sports,elbow,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
What is the circle of Hori?,The ligaments of the elbow from lateral to medial LUCL --> Capsule --> MUCL,,sports,elbow,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
Where do elbow LCL injuries most commonly occur?,Proximally as avulsions off the lateral epicondyle,,sports,knee,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
Injury to the LUCL leads to what type of elbow instability?,Posterolateral rotatory instability,"*Caused by an axial load, valgus force, and supination (external rotation) moment about the forearm",sports,elbow,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
Fracture of what percentage of the coronoid may result in instability?,>50%,Type III - >50% of coronoid fractured (needs ORIF),sports,elbow,,,orif,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
What type of instability is associated with an anteromedial coronoid fracture AND LCL injury?,Varus posteromedial rotatory instability,,sports,knee,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
What stabilizes the proximal radioulnar joint?,Annular ligament,,sports,elbow,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
In which direction does the elbow most commonly dislocate?,Posterolateral,,sports,elbow,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
What is the difference between a simple and a complex elbow dislocation?,Simple dislocations occur without fractures,,sports,elbow,,,,sports,sports::sportselbowinstability,sports::sportselbowinstability,,
What is the eponym for medial epicondylitis?,Golfer's elbow,,sports,elbow,,,,sports,elbow,,,
What clinical examination test assesses for medial epicondylitis?,"Supinate arm, flex wrist",,sports,elbow,,,,sports,elbow,,,
What is the eponym for lateral epicondylitis?,Tennis elbow,,sports,elbow,,,,sports,elbow,,,
Which tendon is most commonly involved in lateral epicondylitis?,ECRB tendon,,sports,elbow,,,,sports,elbow,,,
What histologic finding is seen with lateral epicondylitis?,Angiofibroblastic dysplasia,"With tendinopathy, normal tendon fibers are invaded by fibroblasts and atypical vascular granulation tissue, and the adjacent tissue becomes degenerative, hypercellular, and microfragmented.",sports,elbow,,,,sports,elbow,,,
What clinical examination test assesses for lateral epicondylitis?,Resisted wrist extension,,sports,elbow,,,,sports,elbow,,,
Partial distal biceps tendon tears occur on what side of the radial tuberosity?,Radial side,,sports,elbow,,,,sports,elbow,,,
What type of muscular contraction commonly leads to distal biceps rupture?,Eccentric contraction,,sports,elbow,,,,sports,elbow,,,
What deformity may occur following a distal bicep tendon rupture?,Reverse Popeye deformity,,sports,elbow,,,,sports,elbow,,,
What is the hook test?,Hooking the lateral edge of the bicep tendon with the elbow flexed to 90° and supinated,No hooking of cord = no intact distal biceps tendon,sports,elbow,,,,sports,elbow,,,
What structure may give a false positive hook test if performed medial to lateral?,Lacertus fibrosis,,sports,elbow,,,,sports,elbow,,,
What is the first nerve at risk during the approach to repair a distal biceps tendon rupture?,Lateral antebrachial cutaneous nerve,"*In terms of arterial issues, watch out for the recurrent radial artery when dissecting *Most commonly injured *motor* nerve = PIN",sports,elbow,,,,sports,elbow,,,
What complications are more common with single and double distal biceps incision repairs?,Single incision: Synostosis Double incision: Heterotopic ossification,,sports,elbow,,,,sports,elbow,,,
What are the five ligaments of the interosseous membrane of the forearm?,Proximal oblique cord Dorsal oblique accessory cord Central band Accessory band Distal oblique bundle,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Which ligament of the interosseous membrane is most important for stability?,Central band,Second principle stabilizer of the radius,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the relationship of the bicipital tuberosity and the radial styloid on an AP radiograph?,180°,,,hip,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the relationship of the coronoid and the ulnar styloid on a lateral radiograph?,180°,,,hip,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the most distal muscle belly on the extensor side of the forearm?,Extensor indicis proprius,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What are the components (6) of the triangular fibrocartilage complex (TFCC)?,Meniscal homologue Articular disc Ulnolunate and Ulnotriquetral ligaments ECU subsheath Radioulnar ligaments - volar and dorsal,Remember - Dr. MAUER,,knee,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Which ligaments of the TFCC are the primary stabilizers?,Radioulnar ligaments - volar and dorsal,*The TFCC is a key stabilizer of the DRUJ,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
In which positions are the radioulnar ligaments of the DRUJ most stable?,Dorsal radioulnar ligaments: Supination Volar radioulnar ligaments: Pronation,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Which nerve innervates the wrist capsule?,PIN,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Which tendon is found directly ulnar to Listler's tubercle?,EPL,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What are the contents of the extensor compartments of the wrist?,1 - EPB and APL 2 - ECRB and ECRL 3 - EPL 4 - ED and EI 5 - EDM 6 - ECU,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Which 1st extensor compartment tendon has more variable anatomy (EPB or APL)?,APL,May have multiple slips,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What condition is associated with the first extensor compartment?,Dequervain's tenosynovitis,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What condition is associated with the second extensor compertment?,Intersection syndrome,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the most common dorsal approach to the distal radius?,Incise the 3rd extensor compartment w/ elevation of the radial aspect of the 4th extensor compartment,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What are the branches (3) of the median nerve at the level of the wrist?,Median nerve proper Palmar cutaneous branch Recurrent motor branch,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
The palmar cutaneous branch of the median nerve gives sensation to which part of the hand?,Thenar eminence,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
How much of the weight-bearing force is transmitted through the distal radius and ulna?,Distal radius: 80% Distal ulna: 20%,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
How much of the weight-bearing force is transmitted through the proximal radius and ulna?,Proximal radius: 60% Proximal ulna: 40%,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Why does the weight-bearing force for the proximal radius and ulna differ from the distal distributions?,Inerosseous membrane distributes more force to ulna proximally,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the most commonly used surgical approach to the distal radius?,Volar Henry and its modifications (FCR approach),,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Which nerve is located under the ulnar border of the FCR sheath?,Palmar cutaneous branch of the median nerve,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the name of the most common dorsal approach used for middle and proximal 1/3 radius fractures?,Dorsal Thompson,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What are the proximal and distal intervals for the Dorsal Thompson approach?,Proximally: EDC and ECRB Distally: ECRB and EPL,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Which nerve is at risk in the proximal portion of the Dorsal Thompson approach?,PIN as it traverses the supinator,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What are the (6) operative indications for forearm fractures?,Proximal 1/3 ulna fractures Displaced distal 2/3 ulna fractures Displaced radius fractures Fractures causing a loss of the radial bow Both bone forearm fractures Open fractures,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What are the (3) eponyms for a fracture of the distal radius with an associated DRUJ (distal radial ulnar joint) injury?,Galeazzi fracture Fracture of necessity Piedmont fracture,These terms can be used interchangably,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,galeazzi fracture,
Post-operative forearm function depends on restoration of what during ORIF?,Radial bow,,,forearm,,,orif,forearm,forearm::forearmwrist,forearm::forearmwrist,,
The radial head should align with the capitellum on which x-ray views?,All views :),,,elbow,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What complication may occur following ORIF of a both bone forearm fracture through a single incision?,Synostosis,,,forearm,,,orif,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the normal radial height in wrist films?,11 mm,This is a standard radiographic parameter for wrist films.,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Why should a forearm x-ray be obtained in the setting of wrist pain following trauma?,To evaluate for an Essex-Lopresti injury pattern,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is an Essex-Lopresti fracture?,Fracture of the radial head Disruption of the DRUJ Central band of the interosseous membrane disruption,,,elbow,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What may occur in an unrecognized Essex-Lopresti fracture?,Proximal migration of the radius,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What neuropathy is associated with a DRUJ injury?,Ulnar nerve neuropathy,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What clinical test is often used to evaluate for DRUJ instability?,Shuck test,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What ligaments are evaluated with the Shuck test?,Radioulnar ligaments of the TFCC,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What structure may lead to an irreducible DRUJ?,Interposition of the ECU tendon,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the eponym for a depressed fracture of the lunate fossa?,Die-punch fracture,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the eponym for an isolated radial styloid fracture?,Chauffeur's fracture,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the eponym for an intra-articular distal radius fracture with dislocation of the radiocarpal joint?,Barton's fracture,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the eponym for an apex volar extra-articular distal radius fracture?,Colles' fracture,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the eponym for an apex dorsal extra-articular distal radius fracture?,Smith's fracture,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What acute neuropathy may occur with a distal radius fracture?,Acute carpal tunnel,This is a surgical emergency,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What are the acceptable post-reduction parameters for treating a distal radius fracture nonoperatively?,Radial height: <5 mm of shortening Volar tilt: Dorsal angulation <5° or within 20° of contralateral side Radial inclination: <5° difference to contralateral Articular step-off: <2 mm,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What is the purpose of the LaFontaine criteria?,To evaluate distal radius fracture stability,"Unstable if three or more of the following are present...   1) Dorsal angulation >20° 2) Dorsal comminution >50%, palmar comminution, intraarticular comminution 3) Initial displacement >1 cm 4) Initial radial shortening >5 mm 5) Associated ulna fracture 6) Severe osteoporosis or age >60 years",,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,osteoporosis,
Which nerve is at risk with the radial shaft pin of a wrist spanning external fixator?,Superficial radial nerve,,,forearm,,,external fixation,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What distal radius parameter cannot reliably be restored with utilization of a wrist spanning external fixator?,Volar tilt,,,forearm,,,external fixation,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Rupture of which tendon is most common following ORIF of the distal radius utilizing a volar approach?,FPL,,,forearm,,,orif,forearm,forearm::forearmwrist,forearm::forearmwrist,,
How does volar plate placement influence FPL rupture risk?,Increased risk of FPL rupture if the plate is placed distal to watershed line,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
Rupture of which tendon is most common following nonoperative management of a distal radius fracture?,EPL,Due to increased pressure over the watershed area of the tendon around Lister's tubercle or from mechianical attrition due to callus formation,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What tendon transfer is performed to treat EPL ruptures?,EIP to EPL transfer,,,forearm,,,,forearm,forearm::forearmwrist,forearm::forearmwrist,,
What ligament crosses the inferior aspect of the acetabulum?,Transverse acetabular ligament,,,pelvis,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What is the normal neck-shaft angle of the proximal femur?,130°,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What is the primary blood supply to the femoral head in adults?,Lateral epiphyseal artery of the medial femoral circumflex artery,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
The hip center is most commonly at the same height as which other osseous structure?,Tip of the greater trochanter,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
"""What defines the 4 quadrants of the acetabulum for transacetabular screw placement?","1. ASIS through center of acetabulum 2. Line perpendicular to #1""",,,pelvis,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,scr
What are the (3) structures of the anterior column of the pelvis?,Anterior wall Superior pubic ramus Ilium,,,pelvis,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What are the (4) structures of the posterior column of the hip?,Posterior wall Ischial tuberosity Sciatic notch Quadrilateral surface,,,pelvis,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What is the most common relationship of the sciatic nerve to the piriformis tendon?,Sciatic nerve is anterior to the piriformis tendon,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What are the (5) short external rotators of the hip?,Inferior gamellus Obturator internus  Piriformis  Quadratus femoris  Superior gamellus,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What position should the leg be placed in to decrease tension of the sciatic nerve?,Hip extension and knee flexion,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What nerve must be identified and retracted during the anterior approach to the hip?,Lateral femoral cutaneous nerve,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
"If the lateral femoral cutaneous nerve is injured during hip surgery, what is the resulting condition called?",Meralgia paresthetica,Can also be injured via compression from inguinal ligament,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
"During the anterior approach to the hip, what vessels are encountered between the sartorius and tensor fascia latae?",Ascending branches of the lateral femoral circumflex vessels,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What defines the subtrochanteric area of the femur?,Area b/w lesser trochanter and 5 cm distal,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What are the deforming forces on a subtrochanteric femur fracture?,Proximal fragment: Abduction - Gluteus medius/minimus Flexion - Iliopsoas External rotation - Short external rotators   Distal fragment: Adduction and shortening - Adductors,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
Where do the direct and indirect heads of the rectus femoris originate?,Direct head: Anterior inferior iliac spine Indirect head: Supraacetabular ridge,,,spine,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
Which nerve is at risk if the Gluteus medius is split more than 5 cm proximal to the greater trochanter?,Superior gluteal nerve,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
Which vessel is at risk while dividing the quadratus femoris?,Medial femoral circumflex artery,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
Where does the hip capsule insert distally?,Anteriorly along the intertrochanteric crest Posteriorly along the distal femoral neck,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What muscle inserts on the lesser trochanter?,Iliopsoas,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What is the classification for acetabulum fractures?,Letournel Classification,"Elementary fractures - Posterior wall, anterior wall, posterior column, anterior column, transverse   Associated fractures - Both column, transverse-posterior wall, T-type, posterior column-posterior wall, anterior column-posterior hemi-transverse",trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
