question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis1,metadata.diagnosis2,metadata.procedure,metadata.procedure2,metadata.procedure3,,
Why is the non-articular portion of the radial head important?,Safe zone for hardware placement,,trauma,,elbow,,,,radial_head_orif,,,,
What is the terrible triad of the elbow?,Coronoid fracture Radial head fracture Elbow dislocation,,sports,,elbow,,terrible_triad,,,,,,
What is the circle of Hori?,The ligaments of the elbow from lateral to medial LUCL --> Capsule --> MUCL,,sports,,elbow,,,,,,,,
Where do elbow LCL injuries most commonly occur?,Proximally as avulsions off the lateral epicondyle,,sports,,elbow,,LCL_tear_elbow,,,,,,
Injury to the LUCL leads to what type of elbow instability?,Posterolateral rotatory instability,"*Caused by an axial load, valgus force, and supination (external rotation) moment about the forearm",sports,,elbow,,LCL_tear_elbow,,,,,,
Fracture of what percentage of the coronoid may result in instability?,>50%,Type III - >50% of coronoid fractured (needs ORIF),sports,,elbow,,coronoid_fx,,orif,,,,
What type of instability is associated with an anteromedial coronoid fracture AND LCL injury?,Varus posteromedial rotatory instability,,sports,,knee,,coronoid_fx,LCL_tear_elbow,,,,,
What stabilizes the proximal radioulnar joint?,Annular ligament,,sports,,elbow,,,,,,,,
In which direction does the elbow most commonly dislocate?,Posterolateral,,sports,,elbow,,elbow_dislocation,,,,,,
What is the difference between a simple and a complex elbow dislocation?,Simple dislocations occur without fractures,,sports,,elbow,,elbow_dislocation,,,,,,
What is the eponym for medial epicondylitis?,Golfer's elbow,,sports,,elbow,,medial_epicondylitis,,,,,,
What clinical examination test assesses for medial epicondylitis?,"Supinate arm, flex wrist",,sports,,elbow,,medial_epicondylitis,,,,,,
What is the eponym for lateral epicondylitis?,Tennis elbow,,sports,,elbow,,lateral_epiconylitis,,,,,,
Which tendon is most commonly involved in lateral epicondylitis?,ECRB tendon,,sports,,elbow,,lateral_epiconylitis,,,,,,
What histologic finding is seen with lateral epicondylitis?,Angiofibroblastic dysplasia,"With tendinopathy, normal tendon fibers are invaded by fibroblasts and atypical vascular granulation tissue, and the adjacent tissue becomes degenerative, hypercellular, and microfragmented.",sports,,elbow,,lateral_epiconylitis,,,,,,
What clinical examination test assesses for lateral epicondylitis?,Resisted wrist extension,,sports,,elbow,,lateral_epiconylitis,,,,,,
Partial distal biceps tendon tears occur on what side of the radial tuberosity?,Radial side,,sports,,elbow,,distal_biceps_tear,,,,,,
What type of muscular contraction commonly leads to distal biceps rupture?,Eccentric contraction,,sports,,elbow,,distal_biceps_tear,,,,,,
What deformity may occur following a distal bicep tendon rupture?,Reverse Popeye deformity,,sports,,elbow,,distal_biceps_tear,,,,,,
What is the hook test?,Hooking the lateral edge of the bicep tendon with the elbow flexed to 90° and supinated,No hooking of cord = no intact distal biceps tendon,sports,,elbow,,distal_biceps_tear,,,,,,
What structure may give a false positive hook test if performed medial to lateral?,Lacertus fibrosis,,sports,,elbow,,distal_biceps_tear,,,,,,
What is the first nerve at risk during the approach to repair a distal biceps tendon rupture?,Lateral antebrachial cutaneous nerve,"*In terms of arterial issues, watch out for the recurrent radial artery when dissecting *Most commonly injured *motor* nerve = PIN",sports,,elbow,,distal_biceps_tear,,,,,,
What complications are more common with single and double distal biceps incision repairs?,Single incision: Synostosis Double incision: Heterotopic ossification,,sports,,elbow,,distal_biceps_tear,,distal_biceps_repair,,,,
What are the five ligaments of the interosseous membrane of the forearm?,Proximal oblique cord Dorsal oblique accessory cord Central band Accessory band Distal oblique bundle,,hand,,forearm,,,,,,,started anatomy,
Which ligament of the interosseous membrane is most important for stability?,Central band,Second principle stabilizer of the radius,hand,,forearm,,,,,,,,
What is the relationship of the bicipital tuberosity and the radial styloid on an AP radiograph?,180°,,hand,,forearm,,,,,,,,
What is the relationship of the coronoid and the ulnar styloid on a lateral radiograph?,180°,,hand,,forearm,,,,,,,,
What is the most distal muscle belly on the extensor side of the forearm?,Extensor indicis proprius,,hand,,forearm,,,,,,,,
What are the components (6) of the triangular fibrocartilage complex (TFCC)?,Meniscal homologue Articular disc Ulnolunate and Ulnotriquetral ligaments ECU subsheath Radioulnar ligaments - volar and dorsal,Remember - Dr. MAUER,hand,,wrist,TFCC,,,,,,,
Which ligaments of the TFCC are the primary stabilizers?,Radioulnar ligaments - volar and dorsal,*The TFCC is a key stabilizer of the DRUJ,hand,,wrist,TFCC,,,,,,,
In which positions are the radioulnar ligaments of the DRUJ most stable?,Dorsal radioulnar ligaments: Supination Volar radioulnar ligaments: Pronation,,hand,,wrist,DRUJ,,,,,,,
Which nerve innervates the wrist capsule?,PIN,,hand,,wrist,,,,,,,,
Which tendon is found directly ulnar to Listler's tubercle?,EPL,,hand,,wrist,,,,,,,,
What are the contents of the extensor compartments of the wrist?,1 - EPB and APL 2 - ECRB and ECRL 3 - EPL 4 - ED and EI 5 - EDM 6 - ECU,,hand,,wrist,,,,,,,,
Which 1st extensor compartment tendon has more variable anatomy (EPB or APL)?,APL,May have multiple slips,hand,,wrist,,,,,,,,
What condition is associated with the first extensor compartment?,Dequervain's tenosynovitis,,hand,,forearm,,dequervains_tenosynovitis,,,,,,
What condition is associated with the second extensor compertment?,Intersection syndrome,,hand,,forearm,,intersection_syndrome,,,,,,
What is the most common dorsal approach to the distal radius?,Incise the 3rd extensor compartment w/ elevation of the radial aspect of the 4th extensor compartment,,hand,,forearm,,,,,,,,
What are the branches (3) of the median nerve at the level of the wrist?,Median nerve proper Palmar cutaneous branch Recurrent motor branch,,hand,,forearm,,,,,,,,
The palmar cutaneous branch of the median nerve gives sensation to which part of the hand?,Thenar eminence,,hand,,forearm,,,,,,,,
How much of the weight-bearing force is transmitted through the distal radius and ulna?,Distal radius: 80% Distal ulna: 20%,,hand,,forearm,,,,,,,,
How much of the weight-bearing force is transmitted through the proximal radius and ulna?,Proximal radius: 60% Proximal ulna: 40%,,hand,,forearm,,,,,,,,
Why does the weight-bearing force for the proximal radius and ulna differ from the distal distributions?,Inerosseous membrane distributes more force to ulna proximally,,hand,,forearm,,,,,,,,
What is the most commonly used surgical approach to the distal radius?,Volar Henry and its modifications (FCR approach),,hand,,forearm,,,,,,,,
Which nerve is located under the ulnar border of the FCR sheath?,Palmar cutaneous branch of the median nerve,,hand,,forearm,,,,,,,,
What is the name of the most common dorsal approach used for middle and proximal 1/3 radius fractures?,Dorsal Thompson,,hand,,forearm,,,,,,,,
What are the proximal and distal intervals for the Dorsal Thompson approach?,Proximally: EDC and ECRB Distally: ECRB and EPL,,hand,,forearm,,,,,,,,
Which nerve is at risk in the proximal portion of the Dorsal Thompson approach?,PIN as it traverses the supinator,,hand,,forearm,,,,,,,,
What are the (6) operative indications for forearm fractures?,Proximal 1/3 ulna fractures Displaced distal 2/3 ulna fractures Displaced radius fractures Fractures causing a loss of the radial bow Both bone forearm fractures Open fractures,,hand,,forearm,,forearm_fx,,forearm_fx_orif,,,,
What are the (3) eponyms for a fracture of the distal radius with an associated DRUJ (distal radial ulnar joint) injury?,Galeazzi fracture Fracture of necessity Piedmont fracture,These terms can be used interchangably,hand,,forearm,,distal_radius_fx,,,,,,
Post-operative forearm function depends on restoration of what during ORIF?,Radial bow,,hand,,forearm,,forearm_fx,,forearm_fx_orif,,,,
The radial head should align with the capitellum on which x-ray views?,All views :),,hand,,elbow,,,,,,,,
What complication may occur following ORIF of a both bone forearm fracture through a single incision?,Synostosis,,hand,,forearm,,both_bone_fx,,forearm_fx_orif,,,,
What is the normal radial height in wrist films?,11 mm,This is a standard radiographic parameter for wrist films.,hand,,wrist,,,,,,,,
Why should a forearm x-ray be obtained in the setting of wrist pain following trauma?,To evaluate for an Essex-Lopresti injury pattern,,hand,,forearm,,,,,,,,
What is an Essex-Lopresti fracture?,Fracture of the radial head Disruption of the DRUJ Central band of the interosseous membrane disruption,,hand,,elbow,,essex-lopresti_fx,,,,,,
What may occur in an unrecognized Essex-Lopresti fracture?,Proximal migration of the radius,,hand,,forearm,,essex-lopresti_fx,,,,,,
What neuropathy is associated with a DRUJ injury?,Ulnar nerve neuropathy,,hand,,wrist,,DRUJ_injury,,,,,,
What clinical test is often used to evaluate for DRUJ instability?,Shuck test,,hand,,wrist,,DRUJ_injury,,,,,,
What ligaments are evaluated with the Shuck test?,Radioulnar ligaments of the TFCC,,hand,,wrist,,TFCC_injury,,,,,,
What structure may lead to an irreducible DRUJ?,Interposition of the ECU tendon,,hand,,wrist,,DRUJ_injury,,,,,,
What is the eponym for a depressed fracture of the lunate fossa?,Die-punch fracture,,hand,,hand,,die_punch_fx,lunate_fx,,,,,
What is the eponym for an isolated radial styloid fracture?,Chauffeur's fracture,,hand,,wrist,,chauffeurs_fx,distal_radius_fx,,,,,
What is the eponym for an intra-articular distal radius fracture with dislocation of the radiocarpal joint?,Barton's fracture,,hand,,wrist,,bartons_fx,distal_radius_fx,,,,,
What is the eponym for an apex volar extra-articular distal radius fracture?,Colles' fracture,,hand,,wrist,,colles_fx,distal_radius_fx,,,,,
What is the eponym for an apex dorsal extra-articular distal radius fracture?,Smith's fracture,,hand,,wrist,,smiths_fx,distal_radius_fx,,,,,
What acute neuropathy may occur with a distal radius fracture?,Acute carpal tunnel,This is a surgical emergency,hand,,wrist,,distal_radius_fx,carpal_tunnel,,,,,
What are the acceptable post-reduction parameters for treating a distal radius fracture nonoperatively?,Radial height: <5 mm of shortening Volar tilt: Dorsal angulation <5° or within 20° of contralateral side Radial inclination: <5° difference to contralateral Articular step-off: <2 mm,,hand,,wrist,,distal_radius_fx,,,,,,
What is the purpose of the LaFontaine criteria?,To evaluate distal radius fracture stability,"Unstable if three or more of the following are present...   1) Dorsal angulation >20° 2) Dorsal comminution >50%, palmar comminution, intraarticular comminution 3) Initial displacement >1 cm 4) Initial radial shortening >5 mm 5) Associated ulna fracture 6) Severe osteoporosis or age >60 years",hand,,wrist,,distal_radius_fx,,,,,,
Which nerve is at risk with the radial shaft pin of a wrist spanning external fixator?,Superficial radial nerve,,hand,,wrist,,distal_radius_fx,,wrist_external_fixation,,,,
What distal radius parameter cannot reliably be restored with utilization of a wrist spanning external fixator?,Volar tilt,,hand,,wrist,,distal_radius_fx,,wrist_external_fixation,,,,
Rupture of which tendon is most common following ORIF of the distal radius utilizing a volar approach?,FPL,,hand,,wrist,,distal_radius_fx,,distal_radius_orif,,,,
How does volar plate placement influence FPL rupture risk?,Increased risk of FPL rupture if the plate is placed distal to watershed line,,hand,,wrist,,distal_radius_fx,,distal_radius_orif,,,,
Rupture of which tendon is most common following nonoperative management of a distal radius fracture?,EPL,Due to increased pressure over the watershed area of the tendon around Lister's tubercle or from mechianical attrition due to callus formation,hand,,forearm,,distal_radius_fx,,distal_radius_orif,,,,
What tendon transfer is performed to treat EPL ruptures?,EIP to EPL transfer,,hand,,forearm,,EPL_rupture,,,,,,
What ligament crosses the inferior aspect of the acetabulum?,Transverse acetabular ligament,,trauma,recon,pelvis,,,,,,,,
What is the normal neck-shaft angle of the proximal femur?,130°,,trauma,,hip,,,,,,,,
What is the primary blood supply to the femoral head in adults?,Lateral epiphyseal artery of the medial femoral circumflex artery,,trauma,,hip,,,,,,,,
The hip center is most commonly at the same height as which other osseous structure?,Tip of the greater trochanter,,trauma,,hip,,,,,,,,
"""What defines the 4 quadrants of the acetabulum for transacetabular screw placement?","1. ASIS through center of acetabulum 2. Line perpendicular to #1""",,trauma,recon,pelvis,,,,,,,,
What are the (3) structures of the anterior column of the pelvis?,Anterior wall Superior pubic ramus Ilium,,trauma,,pelvis,,,,,,,,
What are the (4) structures of the posterior column of the hip?,Posterior wall Ischial tuberosity Sciatic notch Quadrilateral surface,,trauma,,pelvis,,,,,,,,
What is the most common relationship of the sciatic nerve to the piriformis tendon?,Sciatic nerve is anterior to the piriformis tendon,,trauma,recon,hip,,,,,,,,
What are the (5) short external rotators of the hip?,Inferior gamellus Obturator internus  Piriformis  Quadratus femoris  Superior gamellus,,trauma,recon,hip,,,,,,,,
What position should the leg be placed in to decrease tension of the sciatic nerve?,Hip extension and knee flexion,,trauma,recon,hip,,,,,,,,
What nerve must be identified and retracted during the anterior approach to the hip?,Lateral femoral cutaneous nerve,,recon,,hip,,,,,,,,
"If the lateral femoral cutaneous nerve is injured during hip surgery, what is the resulting condition called?",Meralgia paresthetica,Can also be injured via compression from inguinal ligament,recon,,hip,,meralgia_paresthetica,,,,,,
"During the anterior approach to the hip, what vessels are encountered between the sartorius and tensor fascia latae?",Ascending branches of the lateral femoral circumflex vessels,,recon,,hip,,,,,,,,
What defines the subtrochanteric area of the femur?,Area b/w lesser trochanter and 5 cm distal,,trauma,,hip,,,,,,,,
What are the deforming forces on a subtrochanteric femur fracture?,Proximal fragment: Abduction - Gluteus medius/minimus Flexion - Iliopsoas External rotation - Short external rotators   Distal fragment: Adduction and shortening - Adductors,,trauma,,hip,,,,,,,,
Where do the direct and indirect heads of the rectus femoris originate?,Direct head: Anterior inferior iliac spine Indirect head: Supraacetabular ridge,,general,,pelvis,,,,,,,,
Which nerve is at risk if the Gluteus medius is split more than 5 cm proximal to the greater trochanter?,Superior gluteal nerve,,recon,trauma,hip,,,,,,,,
Which vessel is at risk while dividing the quadratus femoris?,Medial femoral circumflex artery,,recon,trauma,hip,,,,,,,,
Where does the hip capsule insert distally?,Anteriorly along the intertrochanteric crest Posteriorly along the distal femoral neck,,recon,trauma,hip,,,,,,,,
What muscle inserts on the lesser trochanter?,Iliopsoas,,general,trauma,hip,,,,,,,,
What is the classification for acetabulum fractures?,Letournel Classification,"Elementary fractures - Posterior wall, anterior wall, posterior column, anterior column, transverse   Associated fractures - Both column, transverse-posterior wall, T-type, posterior column-posterior wall, anterior column-posterior hemi-transverse",trauma,,pelvis,acetabulum,acetabulum_fx,,,,,,
Which elementary acetabulum fracture is the only one to involve both columns?,Transverse,,trauma,,pelvis,acetabulum,acetabulum_fx,,,,,,
What is the most common elementary acetabulum fracture?,Posterior wall,,trauma,,pelvis,acetabulum,acetabulum_fx,,,,,,
What is the most common associated acetabulum fracture?,Transverse posterior wall,,trauma,,pelvis,acetabulum,acetabulum_fx,,,,,,
Which acetabulum fracture is highly associated with posterior hip dislocations?,Posterior wall,,trauma,,pelvis,acetabulum,acetabulum_fx,,,,,,
Fractures involving what percentage of the posterior wall are highly associated with hip joint instability?,≥40%,,trauma,,pelvis,acetabulum,acetabulum_fx,,,,,,
What test can be performed to assess the stability of the hip joint following posterior wall fracture?,Exam under anesthesia (EUA),,trauma,,pelvis,acetabulum,acetabulum_fx,,,,,,
How can you measure the weight-bearing surface of the acetabulum on a fine cut (2 mm) CT scan?,Superior 10 mm (5 cuts) of the acetabulum on axial views,,trauma,,pelvis,acetabulum,,,,,,,
What are the (5) most common approaches used to fix acetabular fractures?,Ilioinguinal Iliofemoral Modified Stoppa Kocher-Langenbeck Extended iliofemoral,,trauma,,pelvis,acetabulum,acetabulum_fx,,acetabulum_orif,,,,
Which surgical approach for acetabular fracture fixation is associated with the highest risk of heterotopic ossification?,Extended iliofemoral,,trauma,,pelvis,acetabulum,acetabulum_fx,,acetabulum_orif,,,,
What is the most common complication following acetabulum fractures?,Post-traumatic arthritis,,trauma,,pelvis,acetabulum,acetabulum_fx,,acetabulum_orif,,,,
"Postoperatively, what type of weight bearing has the lowest joint reactive forces?",Touch-down weight bearing,Touchdown weight bearing is defined as not supporting any weight on the affected side by only touching the plantar aspect of the foot to the ground to maintain balance to protect the affected side from mechanical loading.,trauma,,non-anatomic,,,,,,,,
What is the difference between a posterior approach for ORIF of the acetabulum and the posterior approach for a THA?,Must protect the medial femoral circumflex artery with ORIF,Do not transect quadratus femoris muscle or take the short external rotators directly off bone (leave 1 cm cuff) when performing ORIF.,trauma,,pelvis,,,,acetabulum_orif,tha,,,
How will the lower extremity appear with a posterior hip dislocation?,"Shortened, adducted, and internally rotated",Rotation may not be present if there is a large displaced posterior wall fracture,trauma,,hip,,hip_dislocation,,,,,,
How will the lower extremity appear with an anterior hip dislocation?,Abducted and externally rotated,,trauma,,hip,,hip_dislocation,,,,,,
What is the difference between a complex and a simple hip dislocation?,Simple - no associated fracture of acetabulum/proximal femur,,trauma,,hip,,hip_dislocation,,,,,,
What knee injury should you specifically evaluate for in a patient with a posterior hip dislocation following a motor vehicle crash?,PCL injury secondary to impaction with the dashboard,,trauma,,hip,,hip_dislocation,PCL_injury,,,,,
Which nerve is most commonly injured following a posterior hip dislocation?,Sciatic nerve,Most commonly the peroneal division,trauma,,hip,,hip_dislocation,,,,,,
The incidence of what complication increases with increased time to reduction of a dislocated hip?,Femoral head AVN,,trauma,,hip,,hip_dislocation,,hip_reduction,,,,
"Following successful reduction of a hip dislocation, what type of immobilization should be used?",Knee immobilizer and abduction pillow,,trauma,,hip,,hip_dislocation,,hip_reduction,,,,
What imaging should be obtained following a native hip reduction?,CT scan,"To evaluate the reduction, marginal impaction, loose bodies in the joint, associated fractures of the acetabulum/femoral head",trauma,,pelvis,,hip_dislocation,,hip_reduction,,,,
What may be done in an unstable posterior hip dislocation to help keep the hip reduced prior to surgery?,Skeletal traction,,trauma,,hip,,hip_dislocation,,hip_reduction,,,,
What is the classification for femoral head fractures?,Pipkin Classification,Type I: Infrafoveal Type II: Suprafoveal Type III: Type I or II with associated femoral neck fracture Type IV: Type I or II with associated acetabulum fracture,trauma,,hip,femoral_head,femoral_head_fx,,,,,,
What are the operative indications for femoral head fractures?,1) Intra-articular loose body 2) Pipkin II with >1mm step-off 3) Pipkin III and IV fractures,,trauma,,hip,femoral_head,femoral_head_fx,,femoral_head_orif,,,,
Which surgical approach allows for improved visualization of the femoral head during ORIF?,Anterior/Anterolateral,Posterior approach has the worse visualization and is associated with poorer outcomes,trauma,,hip,femoral_head,femoral_head_fx,,femoral_head_orif,,,,
What is the most common treatment for femoral head fractures in elderly patients?,Arthroplasty,,trauma,,hip,femoral_head,femoral_head_fx,,tha,,,,
What are the two (2) classifications for femoral neck fractures?,Garden Classification Pauwel's Classification,"Garden - based on displacement -Type I: Incomplete, non-displaced fracture (valgus impacted) -Type II: Complete, non-displaced fracture -Type III: Complete fracture with <100% displacement -Type IV: Complete fracture with >100% displacement       Pauwel's - based on the trajectory of the fracture line from the horizontal plane -Type I: <30° angle -Type II: 30-50° angle -Type III: >50° angle",trauma,,hip,femoral_neck,femoral_neck_fx,,,,,,
How are femoral neck fractures described by anatomic location?,Subcapital Transcervical Basicervical,,trauma,,hip,femoral_neck,femoral_neck_fx,,,,,,
How will the lower extremity appear with a hip fracture?,"Shortened, externally rotated",,trauma,,hip,,,,,,,,
What are three (3) most common surgical treatment options for femoral neck fractures?,ORIF Hemiarthroplasty Total hip arthroplasty,,trauma,,hip,femoral_neck,femoral_neck_fx,,hemiarthroplasty,femoral_neck_orif,tha,,
"In a young patient with a femoral neck fracture, what is the treatment of choice?",ORIF,Dynamic hip screw (DHS) or 3 screws,trauma,,hip,femoral_neck,femoral_neck_fx,,femoral_neck_orif,,,,
What is the preferred screw configuration for femoral head fracture when treating with 3 screws?,Inverted triangle,,trauma,,hip,femoral_neck,femoral_neck_fx,,femoral_neck_orif,,,,
In which order are the screws placed when utilizing an inverted triangle configuration?,1) Inferiorly along the calcar 2) Posterior-superior 3) Anterior-superior,"Important to start inferior through calcar because that area has good bone. Posterior is 2nd most important because when you walk, your hip wants to displace posteriorly.",trauma,,hip,femoral_neck,femoral_neck_fx,,femoral_neck_orif,,,,
What complication may occur with screw placement starting distal to the lesser trochanter during fixation of femoral head/neck fracture?,Subtrochanteric fracture secondary to creation of a stress riser,,trauma,,hip,femoral_neck,femoral_neck_fx,subtrochanteric_fx,femoral_neck_orif,,,,
What are the two (2) types of femoral neck stress fractures?,Compression sided (inferior) Tension sided (superior),,trauma,,hip,femoral_neck,femoral_neck_fx,,,,,,
Which femoral neck stress fracture may be treated nonoperatively?,Compression sided,not commonly done,trauma,,hip,femoral_neck,femoral_neck_fx,,,,,,
How does the healing potential of intertrochanteric (IT) fractures differ from femoral neck fractures?,IT have better healing potential,B/c they... 1) are extracapsular 2) have periosteum 3) soft tissue attachment,trauma,,hip,intertrochanteric,it_fx,,,,,,
What makes an IT fracture unstable?,1) Reverse obliquity 2) Fracture extension into the subtrochanteric region 3) Disrupted medial calcar 4) Disruption of the lateral cortex,,trauma,,hip,intertrochanteric,it_fx,,,,,,
What are the non-arthroplasty surgical treatment options for IT fractures?,1) Sliding hip screw (SHS) 2) Cephalomedullary nail (CMN),,trauma,,hip,intertrochanteric,it_fx,,imn,shs,,,
Sliding hip screws should be avoided in which type of IT fractures?,Unstable fracture patterns,,trauma,,hip,intertrochanteric,it_fx,,imn,shs,,,
What is the Tip-to-Apex distance (TAD)?,Combined distance from the tip of the screw to the apex of the femoral head on the AP to lateral views,,trauma,,hip,intertrochanteric,it_fx,,imn,shs,,,
What is the importance of the TAD?,TAD >25mm is associated with screw cutout,,trauma,,hip,intertrochanteric,it_fx,,imn,shs,,,
What is the classification for subtrochanteric femur fractures?,Russel-Taylor,Type I: Intact piriformis fossa -IA: Lesser trochanter attached to the proximal fragment -IB: Lesser trochanter detached from proximal fragment Type II: Fracture extends into the piriformis fossa -IIA: Stable posteromedial buttress -IIB: Comminution of the lesser trochanter,trauma,,hip,subtrochanteric,subtroch_fx,,,,,,
What features are suggestive of an atypical femur fracture?,1) Subtrochanteric 2) Absence of major trauma 3) Transverse 4) Lateral cortical thickening 5) Medial cortical spike 6) Prodromal symptoms 7) No comminution,,trauma,,hip,subtrochanteric,,,,,,,
What is the most common surgical treatment for subtrochanteric femur fractures?,Intramedullary nail,,trauma,,hip,subtrochanteric,subtroch_fx,,imn,,,,
What is the advantage of placing an intramedullary nail with the patient in the lateral decubitus position?,Allows for easier reduction of fracture fragments,,trauma,,hip,subtrochanteric,subtroch_fx,,imn,,,,
What is the most common malunion following antegrade IMN for subtrochanteric femur fractures?,Varus and procurvatum,Varus - too lateral Procurvatum - too inferior,trauma,,hip,subtrochanteric,subtroch_fx,,imn,,,,
What is a Cam lesion?,Aspherical femoral head,,sports,,hip,femoral_neck,cam_lesion,,,,,,
What is a Pincer lesion?,Overhang of the anterosuperior acetabular rim,,sports,,pelvis,acetabulum,pincer_lesion,,,,,,
Cam lesions are most commonly seen in what patient population?,"Young, athletic males",,sports,,hip,femoral_neck,cam_lesion,,,,,,
Pincer lesions are most commonly seen in what patient population?,Middle aged females,,sports,,hip,acetabulum,pincer_lesion,,,,,,
What motion is most limited with FAI?,"Flexion, adduction, and internal rotation",,sports,,hip,,fai,,,,,,
Labral tears in which location are most common with FAI?,Anterosuperior,,sports,,hip,,fai,labral_tear_hip,,,,,
"In the treatment of FAI with hip arthroscopy, what nerve injury most commonly occurs secondary to traction?",Pudendal nerve neuropraxia,,sports,,hip,,fai,,hip_arthroscopy,,,,
"""What is the cause of internal coxa sultan?","Iliopsoas tendon """"snapping"""" over the femoral head or lesser trochanter""",,sports,,hip,,internal_coxa_sultan,,,,,,
"""What is the cause of external coxa sultan?","IT band """"snapping"""" over the greater trochanter""",,sports,,hip,,external_coxa_sultan,,,,,,
What is the cause of intra-articular coxa sultan?,Loose body within the hip joint,,sports,,hip,,intra-articular_coxa_sultan,,,,,,
What are the four (4) most commonly used approaches for THA?,Anterior (Smith-Petersen) Anterolateral (Watson-Jones) Direct Lateral (Hardinge) Posterior (Southern-Moore),,recon,,hip,,,,,,,,
What are the superficial and deep intervals for the anterior approach (Smith-Petersen) to the hip?,Superficial:   Tensor fascia latae (Superior gluteal nerve) Sartorius (Femoral nerve)    Deep:  Gluteus medius (Superior gluteal nerve) Rectus femoris (Femoral nerve),,recon,,hip,,,,,,,,
What is the interval for the anterolateral approach (Watson-Jones) to the hip?,Tensor fascia latae (Superior gluteal nerve) Gluteus medius (Superior gluteal nerve),,recon,,hip,,,,,,,,
What are the steps involved in the posterior (Southern-Moore) approach to the hip?,1) Split the gluteus maximus (inferior gluteal nerve) 2) Retract the gluteus medius anteriorly 3) Identify piriformis and short external rotators 4) Detach external rotators 5) Dislocate the hip,,recon,,hip,,,,,,,,
What is the classification for proximal femur bone quality?,Dorr Classification,Type A: Narrow canal with good bone (Champagne flute) Type B: Cortex narrowing with canal widening Type C: Thin cortex with wide canal (Stovepipe),trauma,recon,hip,,,,,,,,
What type of femoral fixation is usually recommended for Dorr Type C femurs?,Cemented femoral components,,trauma,recon,hip,,,,tha,hemiarthroplasty,,,
The acetabular cup should be placed with how much lateral inclination?,35-40°,,recon,,pelvis,,,,tha,,,,
The acetabular cup should be placed with how much anteversion?,20-30°,Too much anteversion may cause impingement on the iliopsoas anteriorly,recon,,pelvis,,,,tha,,,,
What soft tissue structure may be used to judge the position of the acetabular cup?,Transverse acetabular ligament (TAL),,recon,,pelvis,,,,tha,,,,
In what quadrant of the acetabulum can screws be placed most safely?,Posterior-superior,,recon,,pelvis,,,,tha,,,,
"When evaluating an AP pelvis radiograph, following THA where should the acetabular cup be positioned relative to the radiographic lines of the pelvis?",Medialized to the ilioischial line Inferior border of the cup aligned with the inferior border of the teardrop,,recon,,pelvis,,,,tha,,,,
The femoral component of a THA implant should be placed with how much anteversion?,15°,,recon,,hip,,,,tha,,,,
"If a femoral stem is put in with too much anteversion, how will the patient's foot be positioned?",In-toeing,,recon,,hip,,,,tha,,,,
What is the femoral head offset?,The distance from the center of the femoral head to the lateral greater trochanter,,recon,,hip,,,,tha,,,,
Excessively increased femoral head offset can lead to what complication?,Trochanteric bursitis,,recon,,hip,,trochanteric bursitis,,tha,,,,
How does increasing the head-to-neck ratio influence motion and stability?,Increases motion and stability,,recon,,hip,,,,tha,,,,
What are the two (2) fixation techniques for femoral stems?,Cemented Press-fit,,recon,,hip,,,,tha,,,,
What is the difference between on-growth and in-growth press fit prostheses?,In-growth: Porous coated - bone grows into the implant On-growth: Grit based - bone grows onto the implant,,recon,,hip,,,,tha,,,,
"If a femur fracture is encountered during implant insertion, what should be done?",Remove implant Place cerclage wires Reimplantation,,recon,,hip,,,,tha,,,,
"""What radiographic factors demonstrate a well-fixed femoral component following THA?","1) Stress shielding around the proximal femur 2) Regional calcar resorption (round off) 3) New bone formation along the stem (""""spot welding"""") 4) No subsidence of the stem""",,recon,,hip,,,,tha,,,,
What symptoms (2) suggest a loose femoral component following THA?,Thigh pain Start-up pain with walking,,recon,,hip,,,,tha,,,,
What are the three (3) most common bearing combinations for THA?,Ceramic on polyethylene Ceramic on ceramic Metal (cobalt-chrone) on polyethylene,,recon,,hip,,,,tha,,,,
What combination of THA head/cup surfaces has the best wear properties?,Ceramic on ceramic,,recon,,hip,,,,tha,,,,
Squeaking can be seen with which bearing THA surfaces?,Ceramic on ceramic,,recon,,hip,,,,tha,,,,
Pseudotumors are a complication seen with which THA bearing surfaces?,Metal on metal,,recon,,hip,,,,tha,,,,
What complication is more common utilizing a posterior (Southern-Moore) THA approach?,Dislocation,,recon,,hip,,hip_dislocation,,tha,,,,
What intraoperative complication is more common utilizing an anterior (Smith-Petersen) approach?,Femur fracture,,recon,,hip,,,,,,,,
What complication is more common following utilization of an anterolateral (Watson-Jones) approach?,Limping secondary to weak abductors,Trendelenburg gait,recon,,hip,,,,,,,,
What is the classification for hip periprosthetic fractures?,Vancouver Classification,"Type A: Peritrochanteric fractures -Ag: Greater trochanter fracture -Al: Lesser trochanter fracture    Type B: Fracture around or just distal to the stem -B1: Stable stem, Good bone stock -B2: Loose stem, Good bone stock -B3: Loose stem, Poor bone stock   Type C: Fracture well distal to the stem",trauma,recon,hip,,,,,,,,
"When treating a periprosthetic fracture, fixation must bypass the fracture site by what distance?",2 cortical diameters,,trauma,recon,hip,,,,,,,,
"What are the normal values for cervical lordosis, thoracic kyphosis, and lumbar lordosis?",Cervical lordosis: 15° Thoracic kyphosis: 40° Lumbar lordosis: 60°,,spine,,spine,,,,,,,,
