question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
What is the treatment of parosteal osteosarcoma? Long term surival?,"Treat with wide-margin resection, low grade so no chemo   survival of 95%",,onc,,thigh,distal femur,osteosarcoma,,,,,
How does periosteal osteosarcoma appear on XR?,sunburst type lesion resting on a saucerized cortical depression,,onc,,thigh,distal femur,osteosarcoma,,,,,
What is the treatment of periosteal osteosarcoma? Long-term survival?,Chemotherapy and wide resection. 85% survival,,onc,,thigh,distal femur,osteosarcoma,,,,,
What is the 'buzz phrase' often used to describe Telangiectatic osteosarcoma?,Bag of blood,,onc,,non-anatomic,,osteosarcoma,,,,,
With what tumor does telangiectactic osteosarcoma share radiographic features?,aneurysmal bone cysts,,onc,,non-anatomic,,osteosarcoma,,,,,
What is the treatment of telangiectatic osteosarcoma?,Chemotherapy with wide resection,,onc,,non-anatomic,,osteosarcoma,,,,,
What is a periosteal chondroma?,Benign cartilage tumor on the surface of bone,,onc,,non-anatomic,,chondroma,,,,,
What is an enchondroma?,Benigh cartilage tumor in the medullary cavity.,,onc,,non-anatomic,,enchondroma,,,,,
What do enchondromas look like on XR? How can you differentiate it from low-grade chondrosarcoma?,Enchondromas and low-grade chondrosarc appear as lytic lesions with stippled calcifications.   Chondrosarcoma will show cortical bone changes or lysis of previously mineralized cartilage on serial radiographs. Chondrosarc also has deeper endosteal scalloping and may present with pain.,,onc,,non-anatomic,,enchondroma,,,,,
What is the treatment of enchondroma?,Usually no treatment,,onc,,hand,,enchondroma,,,,,
Multiple enchondromas is seen in what 2 syndromes?,_ÐOllier disease ÐMaffucci syndrome,,onc,,non-anatomic,,enchondroma,,,,,
What are the four characteristics of Ollier disease?,"The four characteristics of Ollier disease are multiple enchondromas, dysplastic bones (shortened ulna), a 30% risk of transformation to chondrosarcoma, and random spontaneous mutation.",,onc,,forearm,,ollier_disease,,,,,
What are the 3 characteristics of Maffucci syndrome?,"The three characteristics of Maffucci syndrome are multiple enchondromas, soft tissue hemangiomas (extremity and visceral), and a 100% risk of malignancy.",,onc,,non-anatomic,,maffucci_syndrome,,,,,
What are the radiographic characteristics of osteochondroma?,"Pedunculated, metaphyseal surface lesion pointing away from joint with cortical and medullary continuity.",,onc,,non-anatomic,,osteochondroma,,,,,
What is is risk of malignant transformation in osteochondroma?,<1% risk of transformation to secondary chondrosarcoma,,onc,,shoulder,,osteochondroma,,,,,
What imaging finding in osteochondroma is associated with increased risk of malignancy?,Thickness of cartilage cap >2cm,,onc,,shoulder,,osteochondroma,,,,,
Which gene mutations are seen in multiple hereditary exostosis? Which one is associated with greater burden of disease and higher risk of malignancy?,"_ÐEXY1, EXY2, EXY3 ÐEXY1 is assoicated with increased burden and risk of malignancy",,onc,,non-anatomic,,multiple_hereditary_exostosis,,,,,
What is multiple hereditary exostoses?,Autosomal disorder manifesting in childhood with multiple osteochondromas,,peds,,non-anatomic,,multiple_hereditary_exostosis,,,,,
What is the risk of malignant transformation in multiple hereditary exostosis?,5-10% risk of devoloping low-grade secondary chondrosarcoma,,onc,,non-anatomic,,multiple_hereditary_exostosis,,,,,
In what bone region is chondroblastoma seen?,Centered in the epiphysis in young patients usually with open physes,,onc,,non-anatomic,,chondroblastoma,,,,,
What is seen on XR and MRI with chondroblastoma?,"XR--central region of bone destruction, sharply dmarcated from nomal medullary cavity by a thin rim of sclerotic bone.   MRI--edema far out of proportion to the lesion",,onc,,non-anatomic,,chondroblastoma,,,,,
What is the treatment of chondroblastoma?,Curettage,,onc,,non-anatomic,,chondroblastoma,,,,,
What is the most common location of chondrosarcoma?,The pelvis,,onc,,pelvis,,chondroblastoma,,,,,
What is the treatment of chondrosarcoma?,wide-margin resection   Chemo only as an adjunct in dedifferentiated and mesenchymal types,,onc,,non-anatomic,,chondrosarcoma,,,,,
What is the most malignant cartilage tumor?,dedifferentiated chondrosarcoma,,onc,,non-anatomic,,chondrosarcoma,,,,,
What are the histologic characteristics of dedifferentiated chondrosarcoma?,Bimorphic. high grade spindle cell carcinoma intimately associated with low grade cartilage component,,onc,,non-anatomic,,chondrosarcoma,,,,,
What is the treatment of dedifferentiated chondrosarcoma?,Wide-margin resection and chemotherapy,,onc,,non-anatomic,,chondrosarcoma,,,,,
What is the characterisic radiographic appearance of metaphyseal fibrous defect?,"Nonossifying fibromas appea as a lucent, metaphyseal, eccentric lesion with a sclerotic rim. Overlying cortex may be expanded and thinned.",,onc,,non-anatomic,,metaphyseal_fibrous_defect,,,,,
What does metaphyseal fibrous defect look like on histology?,"cellular fibroblastic connective tissue background, cells arranged in whorled bundles.    Numerous giant cells and hemosiderin deposits.",,onc,,non-anatomic,,metaphyseal_fibrous_defect,,,,,
What is the treatment of metaphyseal fibrous defect?,Observation.   Curettage and bone grafting in symptomatic lesions with more than 50% of cortical involvement.,,onc,,non-anatomic,,metaphyseal_fibrous_defect,,,,,
What is a chordoma?,malignant neoplasm arising from primitive notochordal tissue,,onc,spine,spine,,chordoma,,,,,
What are the 2 most common locations of chordoma?,1) sacroccygeal region 2) spheno-occipital region,,onc,spine,spine,,chordoma,,,,,
What is seen on CT with chordoma?,Midline bone destruction,,onc,,non-anatomic,,chordoma,,,,,
What is the most common primary tumor of bone?,Multiple myeloma,,onc,,non-anatomic,,multiple_myeloma,,,,,
What is found in the urine in patients with multiple myeloma?,light chain subunits of IgG and IgA,,onc,,non-anatomic,,multiple_myeloma,,,,,
What is the classic XR appearance of multiple myeloma?,Punched out lyitic lesions,,onc,,non-anatomic,,multiple_myeloma,,,,,
What is the classic histologic appearance of multiple myeloma?,"Sheets of plasma cells, monoclonal with immunostaining.   Well-differentiated plasma cells with eccentric nucleus and peripherally clumped chromatic clock face",,onc,,non-anatomic,,multiple_myeloma,,,,,
What is the treatment of multiple myeloma?,"Multimodal: chemo, radiation, surgery",,onc,,non-anatomic,,multiple_myeloma,,,,,
Where can giant cell tumor metastasize?,Benign but aggressive lesion that can in rare cases metastasize to the lung,,onc,,non-anatomic,,giant_cell_tumor,,,,,
Where does giant cell tumor most commonly occur?,Knee and sacrum,,onc,,knee,,giant_cell_tumor,,,,,
What does giant cell tumor look like on XR?,"purely lytic, destructive lesion in metaphysis extending to the epiphysis. Often borders subchondral bone",,onc,,non-anatomic,,giant_cell_tumor,,,,,
What is the treatment of giant cell tumor?,Removal with preservation of the involved joint.   Curettage and subsequent rectonstruch with subchondral bone grafts or methylmethacrylate,,onc,,hip,,giant_cell_tumor,,,,,
What age group does Ewing sarcoma affect?,Children >5 years,,onc,,non-anatomic,,ewing_sarcoma,,,,,
What does Ewing sarcoma look like on XR?,"large destructive, metaphyseal and diaphyseal.      Onionskinning (periosteum lifted off in multiple layers)",,onc,,thigh,femoral shaft,ewing_sarcoma,,,,,
What does Ewing sarcoma stain positive for on immunohistochemistry?,CD99,,onc,,non-anatomic,,ewing_sarcoma,,,,,
What should be biopsied for staging in Ewing sarcoma?,Bone marrow,,onc,,non-anatomic,,ewing_sarcoma,,,,,
What is the treatment of Ewing sarcoma?,Chemo and irradiation   Evolving role of surgery,,onc,,non-anatomic,,ewing_sarcoma,,,,,
Where does Ewing metastasize and what are the percentages?,"Ewing metastasizes to the Lung (50%), Bone (25%), and Bone marrow (20%).",,onc,,non-anatomic,,ewing_sarcoma,,,,,
Where does adamantinoma classically manifest? What is the treatment?,anterior cortex of the tibial diaphysis. Tx with wide resection,,onc,,leg,tibial shaft,adamantinoma,,,,,
Describe the aggressiveness of aneurysmal bone cysts.,Aneurysmal bone cysts are nonneoplastic but can destroy normal bone and extend into soft tissue.,,onc,,non-anatomic,,aneurysmal_bone_cyst,,,,,
What does aneurysmal bone cyst look like on XR? What is characteristic on MRI?,"XR--Metaphyseal, eccentric, lyic, expansile MRI--fluid-fluid levels",,onc,,non-anatomic,,aneurysmal_bone_cyst,,,,,
What is the treatment of aneurysmal bone cyst?,Curettage and bone grafting. Recurrence is common in children,,onc,,non-anatomic,,aneurysmal_bone_cyst,,,,,
Where does unicameral bone cyst most commonly appear? How does it present?,Proximal humerus   pain or pathologic fracture,,onc,,shoulder,,unicameral_bone_cyst,,,,,
What does unicameral bone cyst look like on XR?,symmetric cystic expansion with thinning of involved cortices,,onc,,shoulder,,unicameral_bone_cyst,,,,,
"How do aneurysmal bone cysts (ABC) and unicameral bone cysts (UBC) compare in terms of presentation, common bones involved, and location in bone and expansion?","1. In terms of presentation, ABCs are often associated with pain and swelling, while UBCs are typically associated with pathologic fractures and sometimes pain. 2. The common bones involved with ABCs are the distal femur and proximal tibia, while UBCs commonly involve the proximal humerus and proximal femur. 3. Both types of cysts are located in the metaphyseal region of the bone. However, ABCs are eccentric and expand wider than the growth plate, while UBCs are central and do not expand wider than the growth plate.",,onc,,knee,,aneurysmal_bone_cyst,unicameral_bone_cyst,,,,
What is Langerhan cell histiocytosis and name 3 entities it manifests as?,"Langerhan cell histiocytosis is a clonal proliferation of Langerhans cells, which are abnormal cells deriving from bone marrow. It manifests as Eosinophilic granuloma, Hand-Schuller-Christian disease, and Letterer-Siwe disease.",,onc,,non-anatomic,,langerhan_cell_histiocytosis,,,,,
What is eosinophilic granuloma?,"A benign, self-limiting form of Langerhans cell histiocytosis.   Manifests as a monostotic, highly destructive lesion with a well defined margin.",,onc,,non-anatomic,,eosinophilic_granuloma,,,,,
What is Hand-Schuller-Christian disease?,A form of Langerhans cell histocytosis.   Triad of: -Diabetes insipidus -Exophthalmos (skull defects) -Multiple bone lesions,,onc,,hip,, hand_schuller_christian_disease,,,,,
What is Letterer-Siwe disease? Prognosis?,"A form of Langerhans cell histiocytosis.   Fulminating condition, rapidly progressing. Langerhans cells proliferating in many tissues.   Seen in children under age 2, typically fatal. With aggressive chemo 5 year survial is 50%",,onc,,non-anatomic,,letterer_siwe_disease,,,,,
What is the signaling pathway in fibrous dysplasia?,"The signaling pathway in fibrous dysplasia involves a genetic activating mutation of the GSalpha surface protein (GNAS1), which results in increased production of cAMP.",,onc,,non-anatomic,,fibrous_dysplasia,,,,,
What is the classic XR description of fibrous dysplasia?,ground glass,,onc,,non-anatomic,,fibrous_dysplasia,,,,,
What are the 'buzz words' used to describe the histologic appearance of fibrous dysplasia?,"Alphabet soup, Chinese letters",,onc,,non-anatomic,,fibrous_dysplasia,,,,,
What happens when autogenous bone grafting is used for fibrous dysplasia?,Never do it!   The transplanted bone is quickly tranformed into the woven bone of fibrous dysplasia.,,onc,,non-anatomic,,fibrous_dysplasia,,,,,
How does polyostotic fibrous dysplasia differ from monostotic fibrous dysplasia?,"Polyostotic=multiple bones, Monostotic=one bone   Polyostotic -less common -more symptomatic -diagnosed earlier (before age 10)",,onc,,non-anatomic,,fibrous_dysplasia,,,,,
What is McCune-Albright syndrome and name 3 of its findings?,"McCune-Albright syndrome is a condition characterized by polyostotic fibrous dysplasia with endocrinopathy. Three of its findings include cafe au lait spots, precocious puberty, and polyostotic fibrous dysplasia.",,peds,,non-anatomic,,mccune_albright_syndrome,,,,,
What is osteofibrous dysplasia?,"A benign non-neoplastic condition considered a fibrovascular defect. Involves tibia 85% of the time. May present with pain, fracture, firm swelling over tibia   Similar manifestation to fibrous dysplasia but in children younger than 10 years.",,peds,,leg,tibial shaft,osteofibrous_dysplasia,,,,,
What is Paget's disease characterized by?,Abnormal bone remodeling resulting in coarsened trabeculae and remodeled cortices.,,basicscience,,non-anatomic,,paget_disease,,,,,
What is the medical treatment of Paget's disease aimed at and name two agents used?,The medical treatment of Paget's disease is aimed at retarding the activity of osteoclasts. Two agents used are diphosphonates and calcitonin.,,basicscience,,non-anatomic,,paget_disease,,,,,
What is the risk of malignant degeneration in Paget's disease?,<1% risk of formation of a sarcoma within focus of Paget disease,,onc,,non-anatomic,,paget_disease,,,,,
What is the prognosis of a Paget sarcoma?,deadly. <20% long-term survival.,,onc,,non-anatomic,,paget_sarcoma,,,,,
Patients older than 40 with a destructive bone lesion should be presumed to have what?,metastatic disease,,onc,,non-anatomic,,,,,,,
What are the 5 carcinomas most likely to metastasize to bone?,"The 5 carcinomas most likely to metastasize to bone are prostate, thyroid, breast, lung, and kidney.",,onc,,non-anatomic,,,,,,,
Where do pathologic fractures secondary to metastatic disease most commonly occur?,proximal femur,,onc,,hip,proximal femur,,,,,,
What are the hallmark histologic appearances of metastatic disease?,Epithelial cells in a fibrous stroma. Epithelial cells often arranged in a glandular pattern.,,onc,,non-anatomic,,,,,,,
Describe the signaling pathway which results in bone destruction in metastatic disease.,Tumor cells secrete PTHrP. PTHrP stimulates RANKL release. RANKL activates osteoclasts.,,onc,,non-anatomic,,,,,,,
What type of tumor stains positive for SMA?,Leiomyosarcoma,,onc,,non-anatomic,,leiomyosarcoma,,,,,
What type of tumor stains positive for desmin?,Rhabdomyosarcoma,,onc,,non-anatomic,,rhabdomyosarcoma,,,,,
What is the tumor that stains positive for MyoD1/myogenin (myf-4)?,Rhabdomyosarcoma,,onc,,non-anatomic,,rhabdomyosarcoma,,,,,
Which tumors stain positive for S-100?,"Schwannoma, MPNST",,onc,,non-anatomic,,schwannoma,mpnst,,,,
Which tumors stain positive for CD34/CD31?,"Hemangioma, hemangioendothelioma, and angiosarcoma.",,onc,,non-anatomic,,hemangioma,hemangioendothelioma,angiosarcoma,,,
What type of tumor stains positive for beta-catenin?,Fibromatosis,,onc,,non-anatomic,,fibromatosis,,,,,
Which tumor stains positive for CD99?,"Ewing sarcoma, PNET",,onc,,non-anatomic,,ewing_sarcoma,pnet,,,,
Which tumors stain positive for keratin?,"Synovial sarcoma, adamantinoma, and miscellaneous epithelioid sarcomas and carcinomas.",,onc,,non-anatomic,,synovial_sarcoma,adamantinoma,epithelioid sarcoma,,,
Which tumors stain positive for EMA?,Synovial sarcoma and epithelioid sarcomas,,onc,,non-anatomic,,synovial_sarcoma,epithelioid sarcoma,,,,
"What type of tumor stains positive for CD20, CD45?",Lymphoma,,onc,,non-anatomic,,lymphoma,,,,,
What type of tumor stains positive for CD138?,Myeloma,,onc,,non-anatomic,,myeloma,,,,,
What is the name of the tumor that is a benign growth of fat cells?,Lipoma,,onc,,non-anatomic,,lipoma,,,,,
What are the characteristics of a Liposarcoma tumor?,"A Liposarcoma tumor is shown as a left rectus lesion on T1, consistent with fat in some areas. With fat suppression, the fat areas suppress but the liposarcoma does not. It consists of immature lipoblasts intermixed with spindle cells.",,onc,,non-anatomic,,liposarcoma,,,,,
What are the characteristics and histology of a Dedifferentiated liposarcoma?,"A Dedifferentiated liposarcoma is a tumor where T1 shows a lesion that is mostly fat. It is highly malignant on histology with highly cellular elements, a high mitotic rate, and large, bizarre cells.",,onc,,non-anatomic,,liposarcoma,,,,,
Describe the histology of Schwannoma,"Schwannoma is characterized by Antoni A and B areas. Antoni A is composed of compact spindle cells with nuclear palisading, whorling of cells, and Verocay bodies. Antoni B is less orderly and cellular, with a haphazard arrangement and presence of inflammatory cells.",,basicscience,,non-anatomic,,schwannoma,,,,,
What are the characteristics of the tumor named Osteoid Osteoma?,Osteoid Osteoma is a well-circumscribed lytic lesion with dense surrounding bone and a central nidus. It is characterized by mineralizing new bone with a loose fibrovascular stroma.,,onc,,non-anatomic,,osteoid_osteoma,,,,,
What is the chemo regimen for osteosarcoma and their toxicities?,_ÐDoxorubicin (cardiac toxicity) ÐCisplatin (neurotoxicity) Ðmethotrexate (add leucovorin if myolosuppression),,onc,,non-anatomic,,osteosarcoma,,,,,
What are the characteristics of a conventional osteoblastic osteosarcoma?,"A conventional osteoblastic osteosarcoma is a poorly defined, metaphyseal osteoblastic lesion with lacelike mineralizing osteoid surrounding atypical osteoblasts, pleomorphism, and bone formation.",,onc,,non-anatomic,,osteosarcoma,,,,,
What are the characteristics and common location of a Parosteal osteosarcoma?,"A Parosteal osteosarcoma is an exophytic bony mass that is commonly found on the posterior cortex of the distal femur. It is characterized by plates of new bone in a fibrous matrix, and a fibrous stroma with atypical cells.",,onc,,knee,distal femur,osteosarcoma,,,,,
What are the characteristics of a Periosteal osteosarcoma?,"Periosteal osteosarcoma is a surface lesion with bone formation. It shows cartilage and bone formation on histo, pleomorphism, and direct production of osteoid by tumor cells.",,onc,,non-anatomic,,,,,,,
What is Wolff's law?,Wolff's law states that remodeling occurs in response to mechanical stress.,,basicscience,,non-anatomic,,,,,,,
What is osteogenesis?,"Osteogenesis is the process of laying down new bone, which involves mesenchymal stem cells differentiating into osteoblasts and then into osteocytes.",,basicscience,,non-anatomic,,,,,,,
What transcription factor is considered the 'master switch' for the differentiation of mesenchymal stem cells (MSCs) into chondrocytes?,SOX-9 transcription factor,,basicscience,,non-anatomic,,,,,,,
What are the 3 types of muscle contraction and how are they defined?,"The 3 types of muscle contraction are isotonic, isometric, and isokinetic. Isotonic contraction involves constant muscle tension throughout the range of motion (e.g., biceps curl with free weights). Isometric contraction occurs when the muscle length remains unchanged (e.g., pushing against a wall). Isokinetic contraction involves the muscle contracting at a constant velocity over a full range of motion (e.g., using a Cybex machine).",,sports,,non-anatomic,,,,,,,
What are the properties of Type I skeletal muscles?,"Type I skeletal muscles are red, slow twitch, fatigue resistant, and aerobic (oxidative).",,sports,,non-anatomic,,,,,,,
What are the properties of Type II skeletal muscles?,"Type II skeletal muscles are white (IIA), anaerobic, fast twitch, and fatigable.",,sports,,non-anatomic,,,,,,,
What is the significance of Anti-Scl-70 in scleroderma?,Anti-Scl-70 is an antibody commonly found in patients with scleroderma. It is associated with diffuse systemic sclerosis and can help in diagnosing and monitoring the disease.,,basicscience,,non-anatomic,,scleroderma,,,,,
What is the chromosome associated with polymyositis and dermatomyositis?,"Polymyositis and dermatomyositis are associated with the HLA-B8, HLA-DR3, and HLA-DRw52 alleles on chromosome 6.",,basicscience,,non-anatomic,,polymyositis,dermatomyositis,,,,
What is the specific but not sensitive chromosome in SLE?,Anti-Sm (only present in 1/5 of individuals with SLE),,basicscience,,non-anatomic,,sle,,,,,
Which chromosome is associated with drug-induced lupus?,Antihistone antibodies are typically found in drug-induced lupus and are associated with chromosome 6.,,basicscience,,non-anatomic,,drug_induced_lupus,,,,,
What do Southern Blots detect?,DNA,,basicscience,,non-anatomic,,,,,,,
What do Northern blots detect?,RNA,,basicscience,,non-anatomic,,,,,,,
What is the target of rheumatoid factor immunoglobulin?,IgG,,basicscience,,non-anatomic,,,,,,,
What tumor antigen is associated with hepatocellular carcinoma?,Alpha-fetoprotein (AFP),,onc,,non-anatomic,,,,,,,
"What is the name of the tumor characterized by a well-circumscribed lytic lesion with dense surrounding bone and a central nidus, consisting of mineralizing new bone with a loose fibrovascular stroma?",Osteoid Osteoma,,onc,,non-anatomic,,osteoid_osteoma,,,,,
"What is the name of the tumor characterized by a poorly defined, metaphyseal osteoblastic lesion with lacelike mineralizing osteoid surrounding atypical osteoblasts, pleomorphism, and bone formation?",Conventional osteoblastic osteosarcoma,,onc,,non-anatomic,,osteoblastic_osteosarcoma,,,,,
"What is the name of the tumor characterized by an exophytic bony mass located on the posterior cortex of the distal femur, with plates of new bone in a fibrous matrix and a fibrous stroma containing atypical cells?",Parosteal osteosarcoma,,onc,,non-anatomic,,parosteal_osteosarcoma,,,,,
"What is the name of the tumor characterized by a surface lesion with bone formation, cartilage and bone formation on histology, pleomorphism, and direct production of osteoid by tumor cells?",Periosteal osteosarcoma,,onc,,non-anatomic,,periosteal_osteosarcoma,,,,,
What is the name of the tumor characterized by a densely mineralized medullary lesion with mineralized hyaline cartilage and bland chondrocytes in lacunae?,Enchondroma,,onc,,non-anatomic,,enchondroma,,,,,
"What is the name of the tumor characterized by a sessile growth pattern, located in the metaphysis, with continuity in the medullary or cortical bone?",Osteochondroma,,onc,,non-anatomic,,osteochondroma,,,,,
What is the name of the tumor characterized by an expansile lytic lesion with stippled calcifications and cartilage with a permeative growth pattern?,High grade chondrosarcoma,,onc,,non-anatomic,,chondrosarcoma,,,,,
"What is the name of the tumor characterized by surface lesion, stippled calcifications, cortical scalloping, bland hyaline cartilage, chondrocytes, and cartilage matrix?",Periosteal chondroma,,onc,,non-anatomic,,chondroma,,,,,
"What is the name of a tumor characterized by a well-circumscribed lytic lesion with a sclerotic rim, cellular stroma in a chondroid matrix, rounded stromal cells, and multinucleated giant cells?",Chondroblastoma,,onc,,non-anatomic,,chondroblastoma,,,,,
"What is the name of the tumor characterized by a well-circumscribed lytic lesion in the epiphysis and metaphysis, with sheets of multinucleated giant cells?",Giant cell tumor,,onc,,non-anatomic,,giant_cell_tumor,,,,,
"What is the name of the tumor characterized by a well-circumscribed lytic lesion with a rim of sclerotic bone, lobules of fibromyxoid tissue, and myxoid stroma with stellate cells?",Chondromyxoid fibroma,,onc,,non-anatomic,,chondromyxoid_fibroma,,,,,
"What is the name of the tumor characterized by focal dense mineralization surrounded by a poorly defined lytic lesion, with islands of hyaline cartilage surrounded by cellular neoplasm and hyaline cartilage adjacent to pleomorphic rounded cells?",Dedifferentiated chondrosarcoma,,onc,,non-anatomic,,chondrosarcoma,,,,,
"What is the name of the tumor characterized by a scalloped, well-circumscribed, lytic lesion with a sclerotic rim, spindle cells in a storiform pattern, and occasional multinucleated giant cells?",Metaphyseal fibrous defect (NOF),,onc,,non-anatomic,,metaphyseal_fibrous_defect,,,,,
What is the name of the tumor characterized by a permeative lytic lesion and atypical spindle cells?,Fibrosarcoma,,onc,,non-anatomic,,fibrosarcoma,,,,,
"What is the name of the tumor associated with poorly defined lytic lesions in the proximal and distal humerus, spindle cells in a storiform pattern, and a uniform population of pleomorphic cells?",Malignant fibrous histiocytoma,,onc,,non-anatomic,,malignant_fibrous_histiocytoma,,,,,
What is the name of the tumor characterized by a destructive lesion of the sacrum and a lobular arrangement of tissue with nests of physaliferous cells?,Chordoma,,onc,,non-anatomic,,chondroma,,,,,
"What is the name of the tumor characterized by vertical striations and dilated vascular spaces in the marrow, lined by endothelium?",Hemangioma,,onc,,non-anatomic,,hemanglioma,,,,,
What is the name of the tumor characterized by a poorly circumscribed lytic lesion and marrow replacement by a uniform population of lymphoid cells?,Lymphoma of bone,,onc,,non-anatomic,,lymphoma,,,,,
What is the name of the tumor characterized by poorly circumscribed lytic lesions and sheets of uniform atypical plasma cells?,Multiple myeloma,,onc,,non-anatomic,,multiple_myeloma,,,,,
"What is the name of the tumor characterized by a destructive, expansile lesion in the bone surrounded by a highly cellular neoplasm with sheets of rounded cells?",Ewing sarcoma,,onc,,non-anatomic,,ewing_sarcoma,,,,,
"What is the name of the tumor characterized by a diaphyseal, bubbly, symmetric, lytic lesion and biphasic differentiation with spindle cells and epithelioid cells?",Adamantinoma,,onc,,non-anatomic,femoral shaft,adamantinoma,,,,,
"What is the name of the tumor characterized by an eccentric, well-defined lytic lesion with blood-filled lakes, fibroblasts, and multinucleated giant cells?",Aneurysmal bone cyst,,onc,,non-anatomic,,aneurysmal_bone_cyst,,,,,
"What is the name of the tumor characterized by a symmetric, midline, well-circumscribed, lytic lesion in the humeral metaphysis?",Unicameral bone cyst,,onc,,non-anatomic,,unicameral_bone_cyst,,,,,
What is the name of the tumor characterized by a well-circumscribed lesion with a sclerotic rim in the femoral metaphysis and a heterogeneous population of inflammatory cells including Langerhans histiocytes and eosinophils?,Eosinophilic granuloma,,onc,,non-anatomic,,eosinophilic_granuloma,,,,,
"What is the name of the tumor characterized by a long, symmetric lytic lesion with a ground glass appearance and seams of osteoid in a bland fibrous tissue background?",Fibrous dysplasia,,onc,,non-anatomic,,fibrous_dysplasia,,,,,
"What is the name of the tumor characterized by a lytic lesion in the femoral neck and ilium, with glandular arrangement of cells in the marrow space and epithelial cells in an organoid pattern?",Metastatic carcinoma,,onc,,pelvis,,metastatic_carcinoma,,,,,
What is the glenoid version relative to the scapular body?,5 degrees retroverted,,shoulderelbow,,shoulder,glenoid,,,,,,
What lies in the suprascapular notch? What separates them? What is their orientation?,Suprascapular n passes under superior transverse scapular ligament. Suprascapular a pass over superior transverse scapular ligament,,shoulderelbow,,shoulder,suprascapular notch,,,,,,
What should be preserved with irreparable cuff tears to prevent anterosuperior escape?,"the coracoacromial ligament, important for anterosuperior restraint",,shoulderelbow,,shoulder,rotator cuff,rotator_cuff_tear,,,,,rotator cuff repair
What is the first bone to ossify?,clavicle (5 weeks gestation),,peds,,clavicle,,,,,,,
What bone is the last to fuse?,clavicle (medial epiphysis at 25 years),,trauma,,clavicle,,,,,,,
What happens if anterosuperior glenoid labral tears are repaired?,loss of external rotation,,shoulderelbow,,shoulder,labrum,labral_tear,,,,,labral repair
What is the distance relation between the humeral head and pectoralis major tendon?,humeral head height is 5.6cm above superior border of pec major tendon,,shoulderelbow,,shoulder,humeral head,,,,,,
What is the spatial relation between the trapezoid/conoid ligaments and the AC joint?,Trapezoid ligament is 25mm from AC joint Conoid ligament is 45mm from AC joint,,shoulderelbow,,shoulder,CC joint,,,,,,
"Trapezoid/conoid ligaments, which is posteromedial and which is anterolateral?",Trapezoid--anterolateral Conoid--posteromedial,,shoulderelbow,,shoulder,CC joint,,,,,,
What is the ratio between glenohumeral and scapulothoracic motion with arm elevation?,2:1,,shoulderelbow,,thoracic spine,,,,,,,
What does the rotator cuff do to the glenohumeral joint?,depresses and stabilizes humeral head against glenoid,,shoulderelbow,,shoulder,rotator cuff,,,,,,
What is the relationship between the radial head and capitellum on radiographs?,radial head should line up with capitellum at all arm positions on XR,,shoulderelbow,,elbow,radial head,,,,,,
What forces are seen at the medial and lateral elbow (tensile or compressive)?,Medial elbow--tensile forces Lateral elbow--compressive forces,,shoulderelbow,,elbow,,,,,,,
"What is the primary static stabilizer to valgus stress at the elbow, and which component in particular?",Ulnar collateral ligament (especially the anterior band),,shoulderelbow,,elbow,,,,,,,
What occurs with lateral ulnar collateral ligament (LUCL) injury to the elbow?,posterolateral rotatory instability (PLRI),,shoulderelbow,,elbow,,LUCL_injury,,,,,
What is paramount in fixation of radial shaft fractures to prevent pronation and supination loss?,Restoration of radial bow,,trauma,,forearm,radial shaft,radial_shaft_fx,,,,,radial shaft ORIF
What is the space of Poirier? What injuries is it implicated in?,A central weak area in the floor of the carpal tunnel Implicated in lunate volar dislocation and perilunate injuries of the wrist,,hand,,wrist,,lunate_dislocation,,,,,
What are the borders of Guyon canal? What does it contain?,Deep--flexor retinaculum Superficial--volar carpal ligament Ulnar/proximal--pisiform Radial/distal--hook of hamate   Contains ulnar nerve and artery,,hand,,wrist,guyon_canal,,,,,,
What 2 hand pulleys are most critical to function (in order) and what do they overly?,A2 pulley overlies proximal phalanx--most critical to function A4 pulley overlies middle phalax--2nd most critical,,hand,,hand,,,,,,,
What is injured in medial scapular winging? What muscle is involved?,Long thoracic nerve (C5-C7) injury--serratus anterior dysfunction,,shoulderelbow,,thoracic spine,,,,,,,
What is injured in lateral scapular winging? What muscle is involved?,Spinal accessory nerve (CN XI) injury--trapezius dysfunction,,shoulderelbow,,shoulder,,,,,,,
What are the preclavicular brachial plexus branches (4)?,Ð_Dorsal scapular nerve Ðlong thoracic nerve Ðsuprascapular nerve Ðnerve to subclavius,,shoulderelbow,,thoracic spine,,,,,,,
What is the spatial relation between the radial nerve within the radial groove in the posterior humerus and the medial and lateral epicondyles?,Radial nerive traverses the radial groove in the posterior humerus approximately: 20cm from the medial epicondyle 14cm from the lateral epicondyle,,trauma,shoulderelbow,arm,humeral shaft,,,,,,
What muscle does the ulnar nerve split as it enters the forearm?,Ulnar nerve splits the 2 heads of the FCU,,hand,shoulderelbow,forearm,,,,,,,
What muscle does the median nerve split as it enters the forearm?,Median nerve splits the 2 heads of the pronator teres,,hand,shoulderelbow,forearm,,,,,,,
