#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
In a(n) {{c1::ulnar}} nerve injury, sensation is lost over the {{c2::medial 1 1/2 fingers}}, including the {{c3::hypothenar eminence}}.	"<br /><div><img src=""paste-121079423041537.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::03_Upper_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::03_Upper_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Injury to the {{c1::<b>recurrent branch of the median</b>}} <b>nerve</b> ({{c2::<b>C5-T1::</b>nerve roots}}) is commonly due to {{c3::<b>superficial laceration of the palm</b>}}.	"Motor deficits WITHOUT sensory loss (sensory branch comes off before)<br /><div><img src=""paste-121079423041537.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::04_Wrist #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::03_Upper_extremity_nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"Injury to the {{c4::recurrent branch of the median}} nerve results in:<div>1. ""{{c1::ape hand / median claw}}"" (appearance)</div><div>2. {{c2::loss of thenar muscles}} (action)</div><div>3. {{c3::no loss of sensation}} (sensation)</div>"	"<br /><div><img src=""paste-121079423041537.jpg"" /></div>"	No loss of sensation as palmar cutaneous branch controls sensation									"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::04_Wrist #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::03_Upper_extremity_nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"<div>A lesion to #{{c2::1 (upper trunk injury)}} would result in {{c1:: Erb palsy (""waiter's tip."")}}</div><img src=""paste-165145787498497.jpg"">"	"<br /><div><img src=""paste-73177652789249.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A lesion to #{{c2::2}} would result in {{c1::Klumpke palsy (<u>total</u> claw hand)}}<div><img src=""paste-165141492531201.jpg"" /></div>"	"<img src=""paste-74019466379265.jpg"" />"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A lesion to the #{{c1::3 - posterior}} cord would result in {{c2::wrist drop}}, paralysis of the {{c3::deltoid}}, and impairment of {{c4::internal}} rotation of the humerus<div><img src=""paste-165141492531201.jpg""></div>"	"<i>Wrist drop can also be seen in #<b>6: radial nerve injury</b>, deltoid paralysis can also be seen in <b>#5 axillary nerve injury</b> - this is because posterior cord gives off both</i><div><i><br /></i></div><div><i>IF lesion occurs at the bifurcation of the posterior cord, will only have deltoid paralysis + wrist drop sx, b/c subscapular nerves come off before the bifurcation in the lower half</i></div><div><i><br /></i></div>"	loss upper and lower subscapular nerves from posterior cord are what causes loss of internal rotation (innervation to pec)									"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#NBME::Form_22 #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::03_Radial_&_Long_Thoracic_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A lesion to #{{c1::4 (long thoracic nerve injury)}} ({{c3::C5-C7::root}}) would result in {{c2::winged scapula}}.<div><img src=""paste-165141492531201.jpg"" /></div>"	"<img src=""paste-76050985910273.jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::03_Radial_&_Long_Thoracic_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A lesion to #{{c1::5 (axillary nerve injury)}} would result in {{c2::deltoid paralysis}}.<div><img src=""paste-165141492531201.jpg"" /></div>"	"Would ALSO see this in a posterior cord lesion<br /><div><br /></div><div><img src=""paste-29115583299585.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A lesion to #{{c1::6 (radial nerve injury)}} would result in ""Saturday night palsy"" ({{c2::wrist drop}}).<div><img src=""paste-165141492531201.jpg"" /></div><div><br /></div>"	"Wrist drop can also be seen in #<b>3: posterior cord injury</b><div><b>Radial Nerve</b> controls wrist <b>extension</b></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::03_Radial_&_Long_Thoracic_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A lesion to #{{c1::7 (musculocutaneous nerve injury)}} would result in {{c2::difficulty flexing elbow::muscular deficit}} and {{c2::variable loss of sensation::sensory deficit}}<div><img src=""paste-165141492531201.jpg"" /></div>"	<i>The musculocutaneous nerve innervates muscles of forearm flexion and supination, and sensation over the lateral forearm.</i>										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#NBME::Form_18 #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A <b>proximal</b> lesion to #{{c1::<b>8</b> (proximal median nerve injury)}} would result in {{c2::""Pope's blessing""}}, loss of sensation in {{c1::median}} nerve distribution<div><img src=""paste-165141492531201.jpg"" /></div><div><br /></div>"	"<img src=""paste-24309514895361.jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::04_Wrist #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"A {{c1::distal::Proximal or Distal?}} lesion to #{{c1::9 (distal ulnar nerve lesion)}} would result in {{c2::ulnar claw hand}}.<div><img src=""paste-165141492531201.jpg""></div>"											"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::Musculoskeletal::Anatomy"
<div>{{c1::Erb palsy}} (condition) is due to traction or tear of {{c2::the<b> upper trunk</b>}} ({{c2::C5-C6}} roots).</div>	"<div><br /></div><div>aka waiter's tip palsy</div><img src=""paste-194733817200641.jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Muscles lost in Erb palsy include: <div>1. {{c1::deltoid}}</div><div>2. {{c1::supraspinatus}}</div><div>3. {{c2::infraspinatus}}</div><div>4. {{c2::biceps brachii}}</div>	"<br /><div><img src=""paste-194729522233345.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Loss of the {{c1::deltoid}} and {{c1::supraspinatus}} in Erb palsy result in {{c2::a<b>D</b>duction}} of the arm.	"<div>Can no longer aBduct the arm.<br></div><img src=""paste-194729522233345.jpg"">"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Loss of the {{c1::biceps brachii}} in Erb palsy results in {{c2::extension and pronation}} of the forearm.	"<div>Can no longer <b>supinate</b> or flex the forearm</div><div><br /></div><div><img src=""paste-194729522233345.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::01_Upper_Trunk,_Axillary,_Musculocutaneous,_Suprascapular_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Muscles lost in <b>Klumpke palsy</b> include the {{c1::<u>intrinsic hand muscles}}:</u><div>1. {{c2::lumbricals}}</div><div>2. {{c3::interossei}}</div><div>3. {{c3::hypothenar}}</div><div>4. {{c4::thenar}}</div>	"<i>- Lumbricals are controlled by the median and ulnar nerves</i><div><i>- Interossei and hypothenar muscles are controlled by the ulnar nerve</i></div><div><i>- Thenar muscles are controlled by the median and reccurent branch of the median nerve <br></i><div><img src=""paste-202872780226561.jpg""></div></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Loss of the {{c1::lumbricals::specific muscle group}} in {{c2::Klumpke palsy}} results in {{c3::total claw hand}}	"<div>MCP joint is hyperextended, DIP and PIP joints are flexed.</div><div><img src=""paste-202872780226561.jpg"" /></div><div><img src=""paste-26555782791169.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
{{c1::Thoracic outlet syndrome}} (condition) is commonly caused by:<div>- presence of a {{c2::cervical}} rib </div><div>- {{c3::Pancoast}} tumor</div><div>- {{c4::scalene}} muscular abnormalities / hypertrophy / trauma (ex repetitive overhead arm movements)</div>	"<br /><div><img src=""paste-205892142235649.jpg"" /></div>"	A&nbsp;<b>Pancoast tumor</b>&nbsp;is a&nbsp;<b>tumor</b>&nbsp;of the pulmonary apex. It is a type of lung&nbsp;<b>cancer</b>&nbsp;defined primarily by its location situated at the top end of either the right or left lung									"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v7::#B&B::18_Pulm::03_Other::03_Lung_Cancer #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#B&B::18_Pulm::03_Other::03_Lung_Cancer #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::Musculoskeletal::Anatomy"
Muscles lost in <b>thoracic outlet syndrome</b> include the {{c1::instrinsic hand muscles}}:<div>1. {{c2::lumbricals}}</div><div>2. {{c3::interossei}}</div><div>3. {{c4::thenar}}</div><div>4. {{c5::hypothenar}}</div>	"<br /><div><img src=""paste-207515639873537.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::Musculoskeletal::Anatomy"
<b>Thoracic outlet syndrome</b> presents with:<div><br /></div><div>- {{c2::<u>atrophy of intrinsic hand muscles</u>}} (due to loss of lower trunk nourishment)</div><div>- {{c3::<u>ischemia and pain</u>}} (due to artery compression)</div><div>- {{c4::<u>edema</u>}} (due to venous compression)</div><div>- and <u>Klumpke Palsy</u> (due to lower trunk compression)</div>	"<br /><div><img src=""medill_lg_thoutletsyndrome_1566160514431.png"" /><img src=""paste-207511344906241.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::Musculoskeletal::Anatomy"
{{c1::Winged scapula}} (condition) is due to a lesion of the long thoracic nerve that supplies the {{c2::serratus anterior}}	"<br /><div><img src=""paste-208911504244737.jpg"" /></div><div>serratus anterior originates on the surface of the first 8 ribs and inserts on medial border of the scapula</div><div>- functions to stabilize and rotate scapula upward</div><div>- acts with trapezius to rotate glenoid cavity superiorly, allowing complete abduction of arm over head from horizontal position</div><div>- anchors scapula to thoracic cage</div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::03_Radial_&_Long_Thoracic_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Winged scapula is commonly caused by:<div>- {{c1::axillary node}} dissection after {{c1::mastectomy}} </div><div>- {{c2::stab wounds}}</div>	"<br /><div><img src=""paste-208907209277441.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::03_Radial_&_Long_Thoracic_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Winged scapula is due to loss of action of {{c1::the serratus anterior}} (muscle).	"<div><br /></div><i>Serratus anterior pulls the scapula against the rib cage. If you lose it, the scapula ""wings"" out.</i><br /><div><img src=""paste-208907209277441.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::03_Radial_&_Long_Thoracic_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"<div>A long thoracic nerve lesion presents with: </div><div>#1 - inability to abduct arm above {{c1::horizontal position}}</div><div>#2 - inability to anchor {{c2::scapula}} to thoracic cage</div>"	"#1 - due to impaired rotation of scapular<div>#2 - due to paralysis of <b>serratus anterior</b>; presents with a <u>winged scapula</u></div><div><br /><div><img src=""paste-208907209277441.jpg"" /></div></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::03_Brachial_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::04_Brachial_plexus_lesions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::03_Radial_&_Long_Thoracic_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Clawing of the hand is best seen with {{c1::<u>distal</u>::(proximal or distal)}} lesions of the {{c2::median}} or {{c2::ulnar}} nerves.											"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Clawing of the hand is characterized by {{c1::<u>extension</u>::(flexion/extension)}} at the {{c2::MCP}} joint, {{c1::<u>flexion</u>::(flexion/extension)}} at the {{c2::PIP}} joint, and {{c1::<u>flexion</u>::(flexion/extension)}} at the {{c2::DIP}} joint.	<br /><div>Loss of either the median or ulnar nerve takes out the lumbricals (flexion at MCP joint) → unopposed flexion of PIP and DIP joints</div>										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"{{c1::""Ulnar claw"" hand}} (<i>distortion of the hand</i>) is most apparent when {{c2::<u>extending</u> fingers or at rest}}, and is due to a {{c3::<u>distal ulnar</u>}} nerve lesion."	"<div><br /></div>Distortions of the hand: <br /><div><img src=""paste-285417756688385.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"{{c1::""Pope's blessing"" hand (aka hand of benediction)}} (<i>distortion of the hand) </i>is most apparent when {{c2::<u>making a fist</u>}}, and is due to a {{c3::<u>proximal median</u>}} nerve lesion."	"<br /><div>Distortions of the hand:</div><div><img src=""paste-285413461721089.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"{{c1::""Median claw"" hand}} (<i>distortion of the hand</i>) is most apparent when {{c2::<u>extending</u> fingers or at rest}}, and is due to a {{c3::<u>distal median</u>}} nerve lesion."	"<i><br /></i><div><div><i>Distortions of the hand:</i></div><div><img src=""paste-285413461721089.jpg"" /></div></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
"{{c1::""OK gesture"" hand}} is most apparent when {{c2::<u>making a fist</u>}}, and is due to a {{c3::<u>proximal ulnar</u>}} nerve lesion."	"<br /><div><div>Distortions of the hand:</div><div><img src=""paste-285413461721089.jpg"" /></div></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::07_Distortions_of_the_hand #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::02_Lower_Trunk_&_the_Median_&_Ulnar_Nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Muscles of the thenar eminence:<div>1. {{c1::Opponens pollicis}}</div><div>2. {{c2::Abductor pollicis brevis}}</div><div>3. {{c3::Flexor pollicis brevis}}</div>	<b>O</b>ppose, <b>A</b>bduct, <b>F</b>lex (OAF)<div><br /><div>- The <b>median</b> <b>nerve</b> only supplies <u>opponens pollicis </u>(and contributes sensory fibers)</div><div><br /></div><div>- the <b>recurrent branch of the median nerve</b> supplies <u>all three muscles</u> (and does not contribute sensory fibers)</div></div>										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::06_Hand_muscles #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::06_Hand_muscles #AK_Step1_v9::Musculoskeletal::Anatomy"
